Chrom	Start	End	Name	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr2	33516680	33519079	4172	Promoter (<=1kb)	2	33516715	33623755	107041	1	ENST00000272273.5	0	LTBP1	ENSG00000049323.11
chr2	33438450	33442829	4169	Exon (ENST00000404816.2/ENSG00000049323.11, exon 8 of 34)	2	33468729	33498778	30050	1	ENST00000413303.1	-25900	LTBP1	ENSG00000049323.11
chr11	12038480	12041549	21107	Distal Intergenic	11	11985938	12031316	45379	2	ENST00000525493.1	-7165	DKK3	ENSG00000050165.13
chr4	166247200	166250149	10074	Promoter (<=1kb)	4	166248775	166264312	15538	1	ENST00000261507.6	0	MSMO1	ENSG00000052802.8
chr14	89817600	89819699	26297	Promoter (<=1kb)	14	89815877	89817665	1789	2	ENST00000557261.1	0	FOXN3	ENSG00000053254.11
chr6	1574800	1576829	12159	Distal Intergenic	6	1610681	1614127	3447	1	ENST00000380874.2	-33852	FOXC1	ENSG00000054598.5
chr9	123687300	123701149	18400	Promoter (<=1kb)	9	123664671	123691047	26377	2	ENST00000373887.3	0	TRAF1	ENSG00000056558.6
chr9	123702950	123704949	18401	Distal Intergenic	9	123664671	123691451	26781	2	ENST00000540010.1	-11500	TRAF1	ENSG00000056558.6
chr9	123678450	123685599	18399	Promoter (1-2kb)	9	123664671	123676850	12180	2	ENST00000546084.1	-1601	TRAF1	ENSG00000056558.6
chr1	183202430	183205599	2756	Promoter (3-4kb)	1	183208636	183209514	879	1	ENST00000461729.1	-3037	LAMC2	ENSG00000058085.10
chr3	185927150	185929229	8648	Intron (ENST00000265022.3/ENSG00000058866.10, intron 21 of 24)	3	185867954	185960426	92473	2	ENST00000490452.1	31197	DGKG	ENSG00000058866.10
chr17	57904480	57909599	30646	Intron (ENST00000262291.4/ENSG00000062716.6, intron 10 of 11)	17	57914989	57917584	2596	1	ENST00000591782.1	-5390	VMP1	ENSG00000062716.6
chr2	202121780	202124479	5875	Promoter (<=1kb)	2	202122703	202141627	18925	1	ENST00000447616.1	0	CASP8	ENSG00000064012.17
chr5	121647450	121649529	11134	Promoter (<=1kb)	5	121647455	121758727	111273	1	ENST00000508681.1	0	SNCAIP	ENSG00000064692.14
chr10	14644500	14648049	19225	Promoter (<=1kb)	10	14561158	14646388	85231	2	ENST00000468747.1	0	FAM107B	ENSG00000065809.9
chr5	54827750	54832679	10641	Promoter (<=1kb)	5	54720682	54830797	110116	2	ENST00000264775.5	0	PPAP2A	ENSG00000067113.12
chr17	41593650	41596199	30270	Promoter (2-3kb)	17	41598764	41621831	23068	1	ENST00000589898.1	-2565	DHX8	ENSG00000067596.6
chr9	108057830	108063229	18198	Promoter (<=1kb)	9	108056947	108097868	40922	1	ENST00000607692.1	884	SLC44A1	ENSG00000070214.11
chr4	148762580	148766199	9939	Intron (ENST00000510379.1/ENSG00000071205.7, intron 3 of 4)	4	148782134	148993927	211794	1	ENST00000506054.1	-15935	ARHGAP10	ENSG00000071205.7
chr14	69401530	69426999	26038	Promoter (<=1kb)	14	69376737	69414265	37529	2	ENST00000553779.1	0	ACTN1	ENSG00000072110.9
chr14	69430600	69439079	26040	Intron (ENST00000193403.6/ENSG00000072110.9, intron 1 of 20)	14	69341500	69444283	102784	2	ENST00000376839.3	5204	ACTN1	ENSG00000072110.9
chr12	125183150	125187079	24541	Distal Intergenic	12	125262419	125271039	8621	2	ENST00000545305.1	83960	SCARB1	ENSG00000073060.11
chr3	185373900	185375949	8642	Exon (ENST00000382199.2/ENSG00000073792.11, exon 12 of 16)	3	185364668	185367311	2644	2	ENST00000464166.1	-6590	IGF2BP2	ENSG00000073792.11
chr3	171771450	171775799	8498	Intron (ENST00000392699.1/ENSG00000075420.8, intron 1 of 4)	3	171764703	172115271	350569	1	ENST00000416957.1	6748	FNDC3B	ENSG00000075420.8
chr3	171869530	171873649	8503	Promoter (3-4kb)	3	171866325	171905008	38684	1	ENST00000476794.1	3206	FNDC3B	ENSG00000075420.8
chr3	37069450	37074449	6873	Promoter (1-2kb)	3	37067467	37092028	24562	1	ENST00000450420.1	1984	MLH1	ENSG00000076242.10
chr12	109535600	109537749	24158	Promoter (<=1kb)	12	109535923	109548780	12858	1	ENST00000336865.2	0	UNG	ENSG00000076248.6
chr12	109594580	109601529	24166	Promoter (2-3kb)	12	109592487	109610116	17630	1	ENST00000544726.1	2094	ACACB	ENSG00000076555.11
chr1	19739850	19744399	492	Promoter (1-2kb)	1	19665273	19746245	80973	2	ENST00000375144.1	1846	CAPZB	ENSG00000077549.13
chr1	19802850	19805249	500	Intron (ENST00000401084.2/ENSG00000077549.13, intron 1 of 8)	1	19671681	19810579	138899	2	ENST00000413711.1	5330	CAPZB	ENSG00000077549.13
chr2	210442980	210444999	5968	Promoter (<=1kb)	2	210444039	210543352	99314	1	ENST00000392193.1	0	MAP2	ENSG00000078018.15
chr2	210288300	210290499	5965	Promoter (<=1kb)	2	210288782	210595242	306461	1	ENST00000199940.6	0	MAP2	ENSG00000078018.15
chr6	12291000	12293599	12351	Promoter (<=1kb)	6	12290596	12297427	6832	1	ENST00000379375.5	405	EDN1	ENSG00000078401.6
chr5	36689100	36693599	10511	Intron (ENST00000510740.1/ENSG00000250155.1, intron 1 of 2)	5	36680449	36686335	5887	1	ENST00000506178.1	8652	SLC1A3	ENSG00000079215.9
chr6	25279050	25281649	12563	Promoter (<=1kb)	6	25279306	25452825	173520	1	ENST00000461945.1	0	LRRC16A	ENSG00000079691.15
chr9	99270280	99272429	18101	3' UTR	9	99276785	99284885	8101	2	ENST00000481149.1	12456	CDC14B	ENSG00000081377.12
chr9	99316480	99320229	18102	Intron (ENST00000474602.1/ENSG00000081377.12, intron 4 of 13)	9	99300909	99327118	26210	2	ENST00000480920.1	6889	CDC14B	ENSG00000081377.12
chr18	55453430	55461829	31814	Intron (ENST00000536015.1/ENSG00000081923.6, intron 1 of 27)	18	55313661	55470327	156667	2	ENST00000536015.1	8498	ATP8B1	ENSG00000081923.6
chr18	55450400	55452649	31813	Intron (ENST00000536015.1/ENSG00000081923.6, intron 1 of 27)	18	55313661	55470327	156667	2	ENST00000536015.1	17678	ATP8B1	ENSG00000081923.6
chr5	154319300	154322049	11775	Promoter (<=1kb)	5	154320630	154348971	28342	1	ENST00000523037.1	0	MRPL22	ENSG00000082515.12
chr3	124529650	124533399	7943	Promoter (1-2kb)	3	124515387	124528245	12859	2	ENST00000474838.1	-1406	ITGB5	ENSG00000082781.7
chr3	87275130	87278149	7650	Promoter (<=1kb)	3	87276421	87303064	26644	1	ENST00000471660.1	0	CHMP2B	ENSG00000083937.4
chr12	109213200	109254929	24153	Promoter (<=1kb)	12	109176466	109251359	74894	2	ENST00000360239.3	0	SSH1	ENSG00000084112.10
chr1	46267830	46271029	1201	Promoter (<=1kb)	1	46269285	46501738	232454	1	ENST00000372009.2	0	MAST2	ENSG00000086015.16
chr11	89223200	89225999	22266	Promoter (<=1kb)	11	89057524	89224653	167130	2	ENST00000535633.1	0	NOX4	ENSG00000086991.8
chr16	55508150	55511249	28724	Promoter (1-2kb)	16	55512742	55519264	6523	1	ENST00000568715.1	-1493	MMP2	ENSG00000087245.8
chr16	55511550	55515729	28725	Promoter (<=1kb)	16	55512742	55519264	6523	1	ENST00000568715.1	0	MMP2	ENSG00000087245.8
chr13	99621730	99623879	25281	Intron (ENST00000376460.1/ENSG00000088387.13, intron 1 of 56)	13	99445741	99630244	184504	2	ENST00000376460.1	6365	DOCK9	ENSG00000088387.13
chr20	4905680	4908379	33657	Intron (ENST00000338244.1/ENSG00000089057.10, intron 3 of 16)	20	4840013	4880293	40281	2	ENST00000423430.1	-25388	SLC23A2	ENSG00000089057.10
chr12	122026880	122029699	24401	Intron (ENST00000541574.1/ENSG00000256742.1, intron 1 of 1)	12	121931649	122018920	87272	2	ENST00000538046.2	-7961	KDM2B	ENSG00000089094.12
chr12	66580200	66586079	23781	Promoter (<=1kb)	12	66582659	66648402	65744	1	ENST00000261233.4	0	IRAK3	ENSG00000090376.4
chr7	107639600	107645049	15413	Promoter (<=1kb)	7	107564248	107642472	78225	2	ENST00000393561.1	0	LAMB1	ENSG00000091136.9
chr7	107577130	107582349	15403	Promoter (<=1kb)	7	107569894	107577604	7711	2	ENST00000474380.1	0	LAMB1	ENSG00000091136.9
chr6	152011080	152013599	13974	Promoter (<=1kb)	6	152011631	152129301	117671	1	ENST00000404742.1	0	ESR1	ENSG00000091831.17
chr3	112354130	112357999	7796	Promoter (<=1kb)	3	112324447	112356944	32498	2	ENST00000461431.1	0	CCDC80	ENSG00000091986.11
chr3	112358550	112361749	7797	Promoter (<=1kb)	3	112323407	112360116	36710	2	ENST00000206423.3	0	CCDC80	ENSG00000091986.11
chr1	218517250	218523249	3246	Promoter (<=1kb)	1	218519577	218617961	98385	1	ENST00000366929.4	0	TGFB2	ENSG00000092969.7
chr1	218547000	218549449	3250	Intron (ENST00000366929.4/ENSG00000092969.7, intron 2 of 7)	1	218520380	218607654	87275	1	ENST00000488793.1	26621	TGFB2	ENSG00000092969.7
chr1	218529050	218532149	3248	Intron (ENST00000366929.4/ENSG00000092969.7, intron 1 of 7)	1	218520380	218607654	87275	1	ENST00000488793.1	8671	TGFB2	ENSG00000092969.7
chr1	218543080	218546849	3249	Intron (ENST00000366929.4/ENSG00000092969.7, intron 2 of 7)	1	218520380	218607654	87275	1	ENST00000488793.1	22701	TGFB2	ENSG00000092969.7
chr9	133708430	133713699	18721	Promoter (<=1kb)	9	133710453	133763062	52610	1	ENST00000318560.5	0	ABL1	ENSG00000097007.13
chr9	133717450	133725049	18723	Intron (ENST00000372348.2/ENSG00000097007.13, intron 1 of 10)	9	133710453	133763062	52610	1	ENST00000318560.5	6998	ABL1	ENSG00000097007.13
chr9	133714000	133716129	18722	Promoter (3-4kb)	9	133710453	133763062	52610	1	ENST00000318560.5	3548	ABL1	ENSG00000097007.13
chr9	133698100	133702679	18720	Intron (ENST00000372348.2/ENSG00000097007.13, intron 1 of 10)	9	133710453	133763062	52610	1	ENST00000318560.5	-7774	ABL1	ENSG00000097007.13
chr10	33499550	33503099	19478	Promoter (<=1kb)	10	33483300	33502489	19190	2	ENST00000466932.1	0	NRP1	ENSG00000099250.13
chr22	20903130	20913579	35093	Promoter (<=1kb)	22	20905274	20918884	13611	1	ENST00000457322.1	0	MED15	ENSG00000099917.13
chr22	38243750	38246779	35556	Promoter (<=1kb)	22	38227867	38245334	17468	2	ENST00000609454.1	0	ANKRD54	ENSG00000100124.8
chr22	45711450	45716699	35820	Promoter (<=1kb)	22	45714301	45723841	9541	1	ENST00000427777.1	0	FAM118A	ENSG00000100376.7
chr14	51269430	51271429	25740	Intron (ENST00000245441.5/ENSG00000100503.19, intron 4 of 30)	14	51258768	51261236	2469	2	ENST00000486200.1	-8195	NIN	ENSG00000100503.19
chr14	54814580	54817699	25784	Distal Intergenic	14	54863567	54884669	21103	1	ENST00000555837.1	-45868	CDKN3	ENSG00000100526.15
chr14	54831300	54834429	25785	Distal Intergenic	14	54863567	54884669	21103	1	ENST00000555837.1	-29138	CDKN3	ENSG00000100526.15
chr14	93191850	93194049	26385	Intron (ENST00000555699.1/ENSG00000100600.10, intron 2 of 11)	14	93170167	93183804	13638	2	ENST00000555169.1	-8047	LGMN	ENSG00000100600.10
chr14	61190150	61192249	25883	Promoter (<=1kb)	14	61176246	61190852	14607	2	ENST00000216513.4	0	SIX4	ENSG00000100625.8
chr14	70091200	70094449	26062	Intron (ENST00000342745.4/ENSG00000100647.7, intron 1 of 5)	14	70078355	70082468	4114	1	ENST00000553497.1	12846	KIAA0247	ENSG00000100647.7
chr14	35449630	35453499	25664	Promoter (<=1kb)	14	35451163	35498773	47611	1	ENST00000556994.1	0	SRP54	ENSG00000100883.7
chr14	35881380	35883499	25675	Distal Intergenic	14	35872738	35873955	1218	2	ENST00000555629.1	-7426	NFKBIA	ENSG00000100906.6
chr20	50176580	50181229	34383	Promoter (<=1kb)	20	50005163	50179370	174208	2	ENST00000609943.1	0	NFATC2	ENSG00000101096.15
chr20	50141300	50143579	34378	Intron (ENST00000371564.3/ENSG00000101096.15, intron 1 of 10)	20	50003494	50159258	155765	2	ENST00000371564.3	15679	NFATC2	ENSG00000101096.15
chr20	30696380	30699129	33928	Promoter (<=1kb)	20	30697309	30755061	57753	1	ENST00000398022.2	0	TM9SF4	ENSG00000101337.11
chr20	36713680	36724879	34088	Promoter (<=1kb)	20	36713778	36718410	4633	1	ENST00000484683.1	0	RPRD1B	ENSG00000101413.7
chr20	36886500	36889449	34103	Promoter (<=1kb)	20	36888551	36932734	44184	1	ENST00000418004.1	0	BPI	ENSG00000101425.8
chr18	3155030	3157149	31298	Exon (ENST00000356443.4/ENSG00000101605.8, exon 11 of 38)	18	3135056	3142017	6962	2	ENST00000577294.1	-13014	MYOM1	ENSG00000101605.8
chr18	46447830	46485279	31728	Promoter (<=1kb)	18	46446223	46477081	30859	2	ENST00000262158.2	0	SMAD7	ENSG00000101665.4
chr13	49887380	49889449	25056	Intron (ENST00000355854.4/ENSG00000102547.14, intron 8 of 8)	13	49884265	49925263	40999	2	ENST00000409130.1	35814	CAB39L	ENSG00000102547.14
chr13	42037030	42039099	24924	Promoter (<=1kb)	13	42038251	42042980	4730	1	ENST00000487837.1	0	RGCC	ENSG00000102760.12
chr13	52337280	52340029	25109	Distal Intergenic	13	52342751	52348260	5510	2	ENST00000469957.1	8231	DHRS12	ENSG00000102796.6
chr13	31472650	31475799	24758	Promoter (4-5kb)	13	31480328	31499709	19382	1	ENST00000380482.4	-4529	MEDAG	ENSG00000102802.5
chr16	20921200	20924279	28413	5' UTR	16	20912426	20936328	23903	1	ENST00000396052.2	8775	LYRM1	ENSG00000102897.5
chr16	56880330	56882349	28754	Promoter (4-5kb)	16	56875553	56878675	3123	1	ENST00000563465.1	4778	NUP93	ENSG00000102900.8
chr16	49858550	49863349	28653	Promoter (<=1kb)	16	49524522	49860918	336397	2	ENST00000262383.2	0	ZNF423	ENSG00000102935.7
chr16	49821850	49824329	28651	Promoter (<=1kb)	16	49764487	49823459	58973	2	ENST00000568094.1	0	ZNF423	ENSG00000102935.7
chr16	84853480	84859029	29168	Promoter (<=1kb)	16	84853590	84943114	89525	1	ENST00000262424.5	0	CRISPLD2	ENSG00000103196.7
chr16	17470680	17474249	28364	Intron (ENST00000261381.6/ENSG00000103489.7, intron 1 of 11)	16	17449085	17463582	14498	2	ENST00000563403.1	-7099	XYLT1	ENSG00000103489.7
chr8	97802950	97804999	16851	Intron (ENST00000220763.5/ENSG00000104324.11, intron 2 of 7)	8	97773468	97797515	24048	1	ENST00000521142.1	29483	CPQ	ENSG00000104324.11
chr8	99176550	99181199	16875	Distal Intergenic	8	99168186	99169895	1710	1	ENST00000517435.1	8365	POP1	ENSG00000104356.6
chr8	116677100	116682699	16990	Promoter (<=1kb)	8	116420724	116681228	260505	2	ENST00000395715.3	0	TRPS1	ENSG00000104447.7
chr19	47745900	47748099	33226	Distal Intergenic	19	47724081	47736023	11943	2	ENST00000449228.1	-9878	BBC3	ENSG00000105327.11
chr19	48900500	48902499	33267	Promoter (2-3kb)	19	48898132	48948188	50057	1	ENST00000263269.3	2369	GRIN2D	ENSG00000105464.3
chr19	18629100	18634699	32703	Promoter (<=1kb)	19	18553473	18632937	79465	2	ENST00000262809.4	0	ELL	ENSG00000105656.8
chr7	89873400	89876049	15161	Promoter (<=1kb)	7	89874488	89940375	65888	1	ENST00000316089.8	0	C7orf63	ENSG00000105792.15
chr7	157144300	157146329	15888	Intron (ENST00000441561.1/ENSG00000105993.10, intron 3 of 7)	7	157132515	157155924	23410	1	ENST00000439402.1	11786	DNAJB6	ENSG00000105993.10
chr7	158859780	158864529	15915	Intron (ENST00000262178.2/ENSG00000106018.9, intron 4 of 12)	7	158823146	158889895	66750	2	ENST00000377633.3	25366	VIPR2	ENSG00000106018.9
chr7	50719200	50728629	14888	Intron (ENST00000398810.2/ENSG00000106070.13, intron 4 of 15)	7	50685578	50694627	9050	2	ENST00000428711.1	-24574	GRB10	ENSG00000106070.13
chr7	50857150	50863399	14895	Promoter (<=1kb)	7	50657760	50861159	203400	2	ENST00000335866.3	0	GRB10	ENSG00000106070.13
chr7	50751630	50754599	14891	Intron (ENST00000398810.2/ENSG00000106070.13, intron 2 of 15)	7	50657760	50772998	115239	2	ENST00000398810.2	18399	GRB10	ENSG00000106070.13
chr7	30506700	30521899	14620	Promoter (<=1kb)	7	30464143	30518396	54254	2	ENST00000222823.4	0	NOD1	ENSG00000106100.6
chr7	150481300	150486599	15809	Intron (ENST00000542395.1/ENSG00000241134.2, intron 1 of 1)	7	150488389	150493820	5432	2	ENST00000429904.2	7221	TMEM176B	ENSG00000106565.13
chr9	114820730	114825399	18308	Promoter (<=1kb)	9	114803363	114820751	17389	2	ENST00000475283.2	0	SUSD1	ENSG00000106868.12
chr9	711630	716629	17438	Promoter (4-5kb)	9	706889	746103	39215	1	ENST00000382293.3	4742	KANK1	ENSG00000107104.14
chr9	691650	703899	17435	Promoter (2-3kb)	9	706889	746103	39215	1	ENST00000382293.3	-2990	KANK1	ENSG00000107104.14
chr10	97067900	97069929	20250	Distal Intergenic	10	96997329	97050781	53453	2	ENST00000329399.6	-17120	PDLIM1	ENSG00000107438.4
chr10	17064950	17069749	19256	Intron (ENST00000377833.4/ENSG00000107611.10, intron 27 of 66)	10	17007639	17026194	18556	2	ENST00000438254.1	-38757	CUBN	ENSG00000107611.10
chr10	17047480	17053229	19254	Intron (ENST00000377833.4/ENSG00000107611.10, intron 28 of 66)	10	17007639	17026194	18556	2	ENST00000438254.1	-21287	CUBN	ENSG00000107611.10
chr10	48571550	48574749	19609	Distal Intergenic	10	48425815	48438976	13162	2	ENST00000224605.2	-132575	GDF10	ENSG00000107623.4
chr10	91172850	91176549	20158	Promoter (<=1kb)	10	90973326	91174314	200989	2	ENST00000371837.1	0	LIPA	ENSG00000107798.13
chr10	94043350	94045379	20213	Intron (ENST00000265997.4/ENSG00000107864.10, intron 1 of 9)	10	93809388	94050844	241457	2	ENST00000265997.4	5465	CPEB3	ENSG00000107864.10
chr10	61652650	61655379	19685	Intron (ENST00000263102.6/ENSG00000108091.10, intron 1 of 8)	10	61548521	61666414	117894	2	ENST00000263102.6	11035	CCDC6	ENSG00000108091.10
chr17	62656680	62659999	30741	Promoter (<=1kb)	17	62538413	62658015	119603	2	ENST00000582081.1	0	SMURF2	ENSG00000108854.11
chr4	54928400	54934199	9308	Promoter (<=1kb)	4	54875956	54930857	54902	2	ENST00000263921.3	0	CHIC2	ENSG00000109220.6
chr4	25103830	25105879	9147	Distal Intergenic	4	25126923	25128930	2008	2	ENST00000515272.1	23051	SEPSECS	ENSG00000109618.7
chr4	38663350	38677349	9196	Promoter (<=1kb)	4	38665817	38702663	36847	1	ENST00000261438.5	0	KLF3	ENSG00000109787.8
chr11	93860300	93871049	22277	Promoter (<=1kb)	11	93862094	93915138	53045	1	ENST00000227638.3	0	PANX1	ENSG00000110218.4
chr6	75911500	75917579	13310	Promoter (<=1kb)	6	75794042	75915767	121726	2	ENST00000322507.8	0	COL12A1	ENSG00000111799.16
chr6	116690650	116693799	13577	Promoter (<=1kb)	6	116691010	116758984	67975	1	ENST00000537543.1	0	DSE	ENSG00000111817.12
chr6	11317330	11319429	12335	Intron (ENST00000448183.2/ENSG00000111859.12, intron 1 of 9)	6	11251497	11382505	131009	2	ENST00000512665.1	63076	NEDD9	ENSG00000111859.12
chr6	11261450	11264999	12334	Intron (ENST00000448183.2/ENSG00000111859.12, intron 3 of 9)	6	11183531	11232915	49385	2	ENST00000379446.5	-28536	NEDD9	ENSG00000111859.12
chr6	11249880	11253579	12333	5' UTR	6	11183531	11232915	49385	2	ENST00000379446.5	-16966	NEDD9	ENSG00000111859.12
chr6	11769750	11771829	12347	Promoter (1-2kb)	6	11714554	11768037	53484	2	ENST00000512139.1	-1714	ADTRP	ENSG00000111863.8
chr6	125541500	125546599	13642	Promoter (<=1kb)	6	125540991	125584294	43304	1	ENST00000524679.1	510	TPD52L1	ENSG00000111907.16
chr6	160120930	160124029	14097	Intron (ENST00000546087.1/ENSG00000112096.12, intron 3 of 7)	6	160090089	160114360	24272	2	ENST00000538183.2	-6571	SOD2	ENSG00000112096.12
chr6	43082900	43084949	13074	Intron (ENST00000230419.4/ENSG00000112655.11, intron 1 of 19)	6	43098329	43106981	8653	1	ENST00000481946.1	-13380	PTK7	ENSG00000112655.11
chr6	43087580	43090349	13075	Intron (ENST00000230419.4/ENSG00000112655.11, intron 1 of 19)	6	43098329	43106981	8653	1	ENST00000481946.1	-7980	PTK7	ENSG00000112655.11
chr6	76328650	76331249	13328	Promoter (<=1kb)	6	76330379	76373230	42852	1	ENST00000483859.2	0	SENP6	ENSG00000112701.13
chr5	79286750	79288749	10905	Promoter (<=1kb)	5	79287134	79351729	64596	1	ENST00000513310.1	0	THBS4	ENSG00000113296.10
chr5	126181550	126184249	11173	Distal Intergenic	5	126154620	126161801	7182	1	ENST00000512460.1	26931	LMNB1	ENSG00000113368.7
chr5	39420680	39425729	10543	Promoter (<=1kb)	5	39331875	39424970	93096	2	ENST00000483232.2	0	C9	ENSG00000113600.6
chr5	146933130	146935279	11589	Distal Intergenic	5	146770375	146889619	119245	2	ENST00000343218.5	-43512	DPYSL3	ENSG00000113657.8
chr5	172742430	172744449	12010	3' UTR	5	172745181	172751289	6109	2	ENST00000520593.1	6840	STC2	ENSG00000113739.6
chr3	69378100	69382249	7552	Intron (ENST00000398540.3/ENSG00000114541.10, intron 1 of 22)	3	69355558	69370133	14576	2	ENST00000462308.1	-7968	FRMD4B	ENSG00000114541.10
chr3	69418530	69421449	7557	Intron (ENST00000398540.3/ENSG00000114541.10, intron 1 of 22)	3	69383323	69435078	51756	2	ENST00000493127.1	13629	FRMD4B	ENSG00000114541.10
chr3	71591250	71593449	7593	Promoter (<=1kb)	3	71005896	71592708	586813	2	ENST00000475937.1	0	FOXP1	ENSG00000114861.14
chr2	55338050	55341179	4575	Promoter (<=1kb)	2	55254343	55339757	85415	2	ENST00000427710.1	0	RTN4	ENSG00000115310.13
chr2	55345500	55348829	4576	Distal Intergenic	2	55254343	55339757	85415	2	ENST00000427710.1	-5744	RTN4	ENSG00000115310.13
chr2	55383300	55386279	4579	Distal Intergenic	2	55254343	55339757	85415	2	ENST00000427710.1	-43544	RTN4	ENSG00000115310.13
chr2	102652780	102655399	5105	Distal Intergenic	2	102639852	102644879	5028	1	ENST00000485335.1	12929	IL1R2	ENSG00000115590.9
chr2	219695200	219697229	6077	Promoter (<=1kb)	2	219687106	219696514	9409	2	ENST00000439262.2	0	PRKAG3	ENSG00000115592.7
chr2	102665400	102672679	5106	Distal Intergenic	2	102681004	102781413	100410	1	ENST00000452403.1	-8325	IL1R1	ENSG00000115594.7
chr2	106011650	106017129	5131	Promoter (<=1kb)	2	105974169	106016124	41956	2	ENST00000409177.1	0	FHL2	ENSG00000115641.14
chr2	106006700	106011599	5130	Promoter (1-2kb)	2	105979741	106013154	33414	2	ENST00000452732.1	1555	FHL2	ENSG00000115641.14
chr2	37570400	37572599	4219	Promoter (<=1kb)	2	37571717	37600465	28749	1	ENST00000338415.3	0	QPCT	ENSG00000115828.11
chr2	175527730	175529779	5657	Intron (ENST00000442996.1/ENSG00000236449.1, intron 2 of 3)	2	175537995	175547575	9581	2	ENST00000469002.1	17796	WIPF1	ENSG00000115935.12
chr2	175497100	175500379	5656	Promoter (<=1kb)	2	175424300	175499307	75008	2	ENST00000392547.2	0	WIPF1	ENSG00000115935.12
chr2	46555200	46568079	4447	Promoter (<=1kb)	2	46562829	46583432	20604	1	ENST00000475822.1	0	EPAS1	ENSG00000116016.9
chr1	53490230	53492249	1289	Intron (ENST00000371514.3/ENSG00000116171.12, intron 12 of 15)	1	53480646	53517282	36637	1	ENST00000488965.1	9585	SCP2	ENSG00000116171.12
chr1	68581680	68583899	1581	Exon (ENST00000420587.1/ENSG00000232284.3, exon 7 of 10)	1	68591657	68603845	12189	2	ENST00000498615.1	19946	WLS	ENSG00000116729.9
chr1	114520880	114524579	2011	Promoter (<=1kb)	1	114522063	114524876	2814	1	ENST00000369551.1	0	OLFML3	ENSG00000116774.7
chr1	95384330	95386799	1817	Promoter (3-4kb)	1	95367734	95390003	22270	2	ENST00000474409.1	3204	CNN3	ENSG00000117519.11
chr1	95388530	95396299	1818	Promoter (<=1kb)	1	95362507	95392834	30328	2	ENST00000370206.4	0	CNN3	ENSG00000117519.11
chr1	214160280	214164029	3206	Promoter (<=1kb)	1	214161274	214209775	48502	1	ENST00000498508.2	0	PROX1	ENSG00000117707.11
