Chrom	Start	End	Name	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr10	14644500	14648049	19225	Promoter (<=1kb)	10	14561158	14646388	85231	2	ENST00000468747.1	0	FAM107B	ENSG00000065809.9
chr5	54827750	54832679	10641	Promoter (<=1kb)	5	54720682	54830797	110116	2	ENST00000264775.5	0	PPAP2A	ENSG00000067113.12
chr17	41593650	41596199	30270	Promoter (2-3kb)	17	41598764	41621831	23068	1	ENST00000589898.1	-2565	DHX8	ENSG00000067596.6
chr9	108057830	108063229	18198	Promoter (<=1kb)	9	108056947	108097868	40922	1	ENST00000607692.1	884	SLC44A1	ENSG00000070214.11
chr14	69401530	69426999	26038	Promoter (<=1kb)	14	69376737	69414265	37529	2	ENST00000553779.1	0	ACTN1	ENSG00000072110.9
chr3	171869530	171873649	8503	Promoter (3-4kb)	3	171866325	171905008	38684	1	ENST00000476794.1	3206	FNDC3B	ENSG00000075420.8
chr3	37069450	37074449	6873	Promoter (1-2kb)	3	37067467	37092028	24562	1	ENST00000450420.1	1984	MLH1	ENSG00000076242.10
chr12	109535600	109537749	24158	Promoter (<=1kb)	12	109535923	109548780	12858	1	ENST00000336865.2	0	UNG	ENSG00000076248.6
chr12	109594580	109601529	24166	Promoter (2-3kb)	12	109592487	109610116	17630	1	ENST00000544726.1	2094	ACACB	ENSG00000076555.11
chr1	19739850	19744399	492	Promoter (1-2kb)	1	19665273	19746245	80973	2	ENST00000375144.1	1846	CAPZB	ENSG00000077549.13
chr2	210442980	210444999	5968	Promoter (<=1kb)	2	210444039	210543352	99314	1	ENST00000392193.1	0	MAP2	ENSG00000078018.15
chr2	210288300	210290499	5965	Promoter (<=1kb)	2	210288782	210595242	306461	1	ENST00000199940.6	0	MAP2	ENSG00000078018.15
chr6	12291000	12293599	12351	Promoter (<=1kb)	6	12290596	12297427	6832	1	ENST00000379375.5	405	EDN1	ENSG00000078401.6
chr6	25279050	25281649	12563	Promoter (<=1kb)	6	25279306	25452825	173520	1	ENST00000461945.1	0	LRRC16A	ENSG00000079691.15
chr5	154319300	154322049	11775	Promoter (<=1kb)	5	154320630	154348971	28342	1	ENST00000523037.1	0	MRPL22	ENSG00000082515.12
chr3	124529650	124533399	7943	Promoter (1-2kb)	3	124515387	124528245	12859	2	ENST00000474838.1	-1406	ITGB5	ENSG00000082781.7
chr3	87275130	87278149	7650	Promoter (<=1kb)	3	87276421	87303064	26644	1	ENST00000471660.1	0	CHMP2B	ENSG00000083937.4
chr12	109213200	109254929	24153	Promoter (<=1kb)	12	109176466	109251359	74894	2	ENST00000360239.3	0	SSH1	ENSG00000084112.10
chr1	46267830	46271029	1201	Promoter (<=1kb)	1	46269285	46501738	232454	1	ENST00000372009.2	0	MAST2	ENSG00000086015.16
chr11	89223200	89225999	22266	Promoter (<=1kb)	11	89057524	89224653	167130	2	ENST00000535633.1	0	NOX4	ENSG00000086991.8
chr16	55508150	55511249	28724	Promoter (1-2kb)	16	55512742	55519264	6523	1	ENST00000568715.1	-1493	MMP2	ENSG00000087245.8
chr16	55511550	55515729	28725	Promoter (<=1kb)	16	55512742	55519264	6523	1	ENST00000568715.1	0	MMP2	ENSG00000087245.8
chr12	66580200	66586079	23781	Promoter (<=1kb)	12	66582659	66648402	65744	1	ENST00000261233.4	0	IRAK3	ENSG00000090376.4
chr7	107639600	107645049	15413	Promoter (<=1kb)	7	107564248	107642472	78225	2	ENST00000393561.1	0	LAMB1	ENSG00000091136.9
chr7	107577130	107582349	15403	Promoter (<=1kb)	7	107569894	107577604	7711	2	ENST00000474380.1	0	LAMB1	ENSG00000091136.9
chr6	152011080	152013599	13974	Promoter (<=1kb)	6	152011631	152129301	117671	1	ENST00000404742.1	0	ESR1	ENSG00000091831.17
chr3	112354130	112357999	7796	Promoter (<=1kb)	3	112324447	112356944	32498	2	ENST00000461431.1	0	CCDC80	ENSG00000091986.11
chr3	112358550	112361749	7797	Promoter (<=1kb)	3	112323407	112360116	36710	2	ENST00000206423.3	0	CCDC80	ENSG00000091986.11
chr1	218517250	218523249	3246	Promoter (<=1kb)	1	218519577	218617961	98385	1	ENST00000366929.4	0	TGFB2	ENSG00000092969.7
chr9	133708430	133713699	18721	Promoter (<=1kb)	9	133710453	133763062	52610	1	ENST00000318560.5	0	ABL1	ENSG00000097007.13
chr9	133714000	133716129	18722	Promoter (3-4kb)	9	133710453	133763062	52610	1	ENST00000318560.5	3548	ABL1	ENSG00000097007.13
chr10	33499550	33503099	19478	Promoter (<=1kb)	10	33483300	33502489	19190	2	ENST00000466932.1	0	NRP1	ENSG00000099250.13
chr22	20903130	20913579	35093	Promoter (<=1kb)	22	20905274	20918884	13611	1	ENST00000457322.1	0	MED15	ENSG00000099917.13
chr22	38243750	38246779	35556	Promoter (<=1kb)	22	38227867	38245334	17468	2	ENST00000609454.1	0	ANKRD54	ENSG00000100124.8
chr22	45711450	45716699	35820	Promoter (<=1kb)	22	45714301	45723841	9541	1	ENST00000427777.1	0	FAM118A	ENSG00000100376.7
chr14	61190150	61192249	25883	Promoter (<=1kb)	14	61176246	61190852	14607	2	ENST00000216513.4	0	SIX4	ENSG00000100625.8
chr14	35449630	35453499	25664	Promoter (<=1kb)	14	35451163	35498773	47611	1	ENST00000556994.1	0	SRP54	ENSG00000100883.7
chr20	50176580	50181229	34383	Promoter (<=1kb)	20	50005163	50179370	174208	2	ENST00000609943.1	0	NFATC2	ENSG00000101096.15
chr20	30696380	30699129	33928	Promoter (<=1kb)	20	30697309	30755061	57753	1	ENST00000398022.2	0	TM9SF4	ENSG00000101337.11
chr20	36713680	36724879	34088	Promoter (<=1kb)	20	36713778	36718410	4633	1	ENST00000484683.1	0	RPRD1B	ENSG00000101413.7
chr20	36886500	36889449	34103	Promoter (<=1kb)	20	36888551	36932734	44184	1	ENST00000418004.1	0	BPI	ENSG00000101425.8
chr18	46447830	46485279	31728	Promoter (<=1kb)	18	46446223	46477081	30859	2	ENST00000262158.2	0	SMAD7	ENSG00000101665.4
chr13	42037030	42039099	24924	Promoter (<=1kb)	13	42038251	42042980	4730	1	ENST00000487837.1	0	RGCC	ENSG00000102760.12
chr13	31472650	31475799	24758	Promoter (4-5kb)	13	31480328	31499709	19382	1	ENST00000380482.4	-4529	MEDAG	ENSG00000102802.5
chr16	56880330	56882349	28754	Promoter (4-5kb)	16	56875553	56878675	3123	1	ENST00000563465.1	4778	NUP93	ENSG00000102900.8
chr16	49858550	49863349	28653	Promoter (<=1kb)	16	49524522	49860918	336397	2	ENST00000262383.2	0	ZNF423	ENSG00000102935.7
chr16	49821850	49824329	28651	Promoter (<=1kb)	16	49764487	49823459	58973	2	ENST00000568094.1	0	ZNF423	ENSG00000102935.7
chr16	84853480	84859029	29168	Promoter (<=1kb)	16	84853590	84943114	89525	1	ENST00000262424.5	0	CRISPLD2	ENSG00000103196.7
chr8	116677100	116682699	16990	Promoter (<=1kb)	8	116420724	116681228	260505	2	ENST00000395715.3	0	TRPS1	ENSG00000104447.7
chr19	48900500	48902499	33267	Promoter (2-3kb)	19	48898132	48948188	50057	1	ENST00000263269.3	2369	GRIN2D	ENSG00000105464.3
chr19	18629100	18634699	32703	Promoter (<=1kb)	19	18553473	18632937	79465	2	ENST00000262809.4	0	ELL	ENSG00000105656.8
chr7	89873400	89876049	15161	Promoter (<=1kb)	7	89874488	89940375	65888	1	ENST00000316089.8	0	C7orf63	ENSG00000105792.15
chr7	50857150	50863399	14895	Promoter (<=1kb)	7	50657760	50861159	203400	2	ENST00000335866.3	0	GRB10	ENSG00000106070.13
chr7	30506700	30521899	14620	Promoter (<=1kb)	7	30464143	30518396	54254	2	ENST00000222823.4	0	NOD1	ENSG00000106100.6
chr9	114820730	114825399	18308	Promoter (<=1kb)	9	114803363	114820751	17389	2	ENST00000475283.2	0	SUSD1	ENSG00000106868.12
chr9	711630	716629	17438	Promoter (4-5kb)	9	706889	746103	39215	1	ENST00000382293.3	4742	KANK1	ENSG00000107104.14
chr9	691650	703899	17435	Promoter (2-3kb)	9	706889	746103	39215	1	ENST00000382293.3	-2990	KANK1	ENSG00000107104.14
chr10	91172850	91176549	20158	Promoter (<=1kb)	10	90973326	91174314	200989	2	ENST00000371837.1	0	LIPA	ENSG00000107798.13
chr17	62656680	62659999	30741	Promoter (<=1kb)	17	62538413	62658015	119603	2	ENST00000582081.1	0	SMURF2	ENSG00000108854.11
chr4	54928400	54934199	9308	Promoter (<=1kb)	4	54875956	54930857	54902	2	ENST00000263921.3	0	CHIC2	ENSG00000109220.6
chr4	38663350	38677349	9196	Promoter (<=1kb)	4	38665817	38702663	36847	1	ENST00000261438.5	0	KLF3	ENSG00000109787.8
chr11	93860300	93871049	22277	Promoter (<=1kb)	11	93862094	93915138	53045	1	ENST00000227638.3	0	PANX1	ENSG00000110218.4
chr6	75911500	75917579	13310	Promoter (<=1kb)	6	75794042	75915767	121726	2	ENST00000322507.8	0	COL12A1	ENSG00000111799.16
chr6	116690650	116693799	13577	Promoter (<=1kb)	6	116691010	116758984	67975	1	ENST00000537543.1	0	DSE	ENSG00000111817.12
chr6	11769750	11771829	12347	Promoter (1-2kb)	6	11714554	11768037	53484	2	ENST00000512139.1	-1714	ADTRP	ENSG00000111863.8
chr6	125541500	125546599	13642	Promoter (<=1kb)	6	125540991	125584294	43304	1	ENST00000524679.1	510	TPD52L1	ENSG00000111907.16
chr6	76328650	76331249	13328	Promoter (<=1kb)	6	76330379	76373230	42852	1	ENST00000483859.2	0	SENP6	ENSG00000112701.13
chr5	79286750	79288749	10905	Promoter (<=1kb)	5	79287134	79351729	64596	1	ENST00000513310.1	0	THBS4	ENSG00000113296.10
chr5	39420680	39425729	10543	Promoter (<=1kb)	5	39331875	39424970	93096	2	ENST00000483232.2	0	C9	ENSG00000113600.6
chr3	71591250	71593449	7593	Promoter (<=1kb)	3	71005896	71592708	586813	2	ENST00000475937.1	0	FOXP1	ENSG00000114861.14
chr2	55338050	55341179	4575	Promoter (<=1kb)	2	55254343	55339757	85415	2	ENST00000427710.1	0	RTN4	ENSG00000115310.13
chr2	219695200	219697229	6077	Promoter (<=1kb)	2	219687106	219696514	9409	2	ENST00000439262.2	0	PRKAG3	ENSG00000115592.7
chr2	106011650	106017129	5131	Promoter (<=1kb)	2	105974169	106016124	41956	2	ENST00000409177.1	0	FHL2	ENSG00000115641.14
chr2	106006700	106011599	5130	Promoter (1-2kb)	2	105979741	106013154	33414	2	ENST00000452732.1	1555	FHL2	ENSG00000115641.14
chr2	37570400	37572599	4219	Promoter (<=1kb)	2	37571717	37600465	28749	1	ENST00000338415.3	0	QPCT	ENSG00000115828.11
chr2	175497100	175500379	5656	Promoter (<=1kb)	2	175424300	175499307	75008	2	ENST00000392547.2	0	WIPF1	ENSG00000115935.12
chr2	46555200	46568079	4447	Promoter (<=1kb)	2	46562829	46583432	20604	1	ENST00000475822.1	0	EPAS1	ENSG00000116016.9
chr1	114520880	114524579	2011	Promoter (<=1kb)	1	114522063	114524876	2814	1	ENST00000369551.1	0	OLFML3	ENSG00000116774.7
chr1	95384330	95386799	1817	Promoter (3-4kb)	1	95367734	95390003	22270	2	ENST00000474409.1	3204	CNN3	ENSG00000117519.11
chr1	95388530	95396299	1818	Promoter (<=1kb)	1	95362507	95392834	30328	2	ENST00000370206.4	0	CNN3	ENSG00000117519.11
chr1	214160280	214164029	3206	Promoter (<=1kb)	1	214161274	214209775	48502	1	ENST00000498508.2	0	PROX1	ENSG00000117707.11
chr6	134208730	134213179	13716	Promoter (<=1kb)	6	134210276	134216691	6416	1	ENST00000367882.4	0	TCF21	ENSG00000118526.6
chr4	88928730	88930749	9520	Promoter (<=1kb)	4	88928820	88998929	70110	1	ENST00000237596.2	0	PKD2	ENSG00000118762.3
chr1	230998100	231006049	3494	Promoter (<=1kb)	1	230972865	231004399	31535	2	ENST00000366663.5	0	C1orf198	ENSG00000119280.12
chr1	230993350	230996099	3493	Promoter (1-2kb)	1	230979583	230991880	12298	2	ENST00000519360.1	-1471	C1orf198	ENSG00000119280.12
chr9	123833630	123838699	18402	Promoter (<=1kb)	9	123837141	123880849	43709	1	ENST00000373865.2	0	CNTRL	ENSG00000119397.12
chr14	76177200	76179399	26209	Promoter (4-5kb)	14	76184155	76201570	17416	1	ENST00000554935.1	-4756	TTLL5	ENSG00000119685.15
chr10	106111880	106114349	20474	Promoter (<=1kb)	10	106113522	106214848	101327	1	ENST00000369704.3	0	CCDC147	ENSG00000120051.10
chr9	27527050	27529899	17619	Promoter (<=1kb)	9	27325207	27529779	204573	2	ENST00000262244.5	0	MOB3B	ENSG00000120162.9
chr5	139559130	139561949	11411	Promoter (4-5kb)	5	139554773	139661637	106865	1	ENST00000509789.2	4358	CYSTM1	ENSG00000120306.5
chr10	24752230	24755699	19344	Promoter (<=1kb)	10	24755460	24834245	78786	1	ENST00000396446.1	0	KIAA1217	ENSG00000120549.11
chr12	93964430	93969879	23938	Promoter (<=1kb)	12	93964756	93968973	4218	1	ENST00000536696.2	0	SOCS2	ENSG00000120833.9
chr12	93970100	93973379	23939	Promoter (1-2kb)	12	93968834	93977263	8430	1	ENST00000549510.1	1267	SOCS2	ENSG00000120833.9
chr1	145609600	145612399	2137	Promoter (<=1kb)	1	145611036	145696218	85183	1	ENST00000369291.5	0	RNF115	ENSG00000121848.9
chr7	41738030	41742429	14733	Promoter (<=1kb)	7	41729132	41740207	11076	2	ENST00000442711.1	0	INHBA	ENSG00000122641.9
chr7	137675900	137688499	15696	Promoter (<=1kb)	7	137687070	137801612	114543	1	ENST00000468877.2	0	AKR1D1	ENSG00000122787.10
chr12	116713380	116717199	24293	Promoter (<=1kb)	12	116396381	116715143	318763	2	ENST00000281928.3	0	MED13L	ENSG00000123066.3
chr12	26348100	26351849	23242	Promoter (<=1kb)	12	26348273	26385867	37595	1	ENST00000422622.2	0	SSPN	ENSG00000123096.7
chr12	56210030	56213579	23632	Promoter (<=1kb)	12	56211703	56215663	3961	1	ENST00000243045.5	0	ORMDL2	ENSG00000123353.5
chr2	238594650	238618029	6325	Promoter (<=1kb)	2	238600788	238673922	73135	1	ENST00000289175.6	0	LRRFIP1	ENSG00000124831.14
chr2	238581150	238588149	6323	Promoter (3-4kb)	2	238592047	238593116	1070	1	ENST00000489295.1	-3898	LRRFIP1	ENSG00000124831.14
chr20	17537400	17540699	33757	Promoter (<=1kb)	20	17474550	17539605	65056	2	ENST00000377868.2	0	BFSP1	ENSG00000125864.7
chr20	33102250	33105699	33983	Promoter (<=1kb)	20	33104214	33128762	24549	1	ENST00000357156.2	0	DYNLRB1	ENSG00000125971.12
chr3	187008000	187012429	8686	Promoter (<=1kb)	3	186935942	187009810	73869	2	ENST00000337774.5	0	MASP1	ENSG00000127241.12
chr19	16934930	16936999	32627	Promoter (3-4kb)	19	16940211	16991161	50951	1	ENST00000248054.5	-3212	SIN3B	ENSG00000127511.5
chr19	16544050	16548379	32609	Promoter (<=1kb)	19	16511442	16546107	34666	2	ENST00000602009.1	0	EPS15L1	ENSG00000127527.9
chr1	39551200	39554149	1019	Promoter (1-2kb)	1	39549839	39952789	402951	1	ENST00000539005.1	1362	MACF1	ENSG00000127603.19
chr1	39668980	39672849	1029	Promoter (<=1kb)	1	39669918	39952849	282932	1	ENST00000564288.1	0	MACF1	ENSG00000127603.19
chr4	53733880	53738499	9293	Promoter (3-4kb)	4	53730313	53732966	2654	1	ENST00000505041.1	3568	RASL11B	ENSG00000128045.5
chr8	17510430	17512729	16086	Promoter (<=1kb)	8	17504513	17512534	8022	2	ENST00000523471.1	0	MTUS1	ENSG00000129422.9
chr2	1654950	1661929	3707	Promoter (<=1kb)	2	1653015	1657738	4724	2	ENST00000493779.1	0	PXDN	ENSG00000130508.6
chr6	151560030	151563649	13964	Promoter (<=1kb)	6	151561134	151679692	118559	1	ENST00000402676.2	0	AKAP12	ENSG00000131016.12
chr6	152621200	152624449	13986	Promoter (<=1kb)	6	152598637	152623404	24768	2	ENST00000489156.1	0	SYNE1	ENSG00000131018.18
chr3	15364100	15369299	6652	Promoter (4-5kb)	3	15345609	15373570	27962	2	ENST00000459627.1	4271	SH3BP5	ENSG00000131370.11
chr3	15310700	15312799	6646	Promoter (4-5kb)	3	15303668	15317416	13749	2	ENST00000417936.1	4617	SH3BP5	ENSG00000131370.11
chr3	14469050	14478649	6625	Promoter (<=1kb)	3	14474178	14487324	13147	1	ENST00000452775.1	0	SLC6A6	ENSG00000131389.12
chr3	14442430	14448579	6624	Promoter (<=1kb)	3	14444076	14452831	8756	1	ENST00000490683.1	0	SLC6A6	ENSG00000131389.12
chr15	101726250	101734329	27993	Promoter (<=1kb)	15	101717306	101728266	10961	2	ENST00000543813.1	0	CHSY1	ENSG00000131873.5
chr10	129844950	129847429	20779	Promoter (<=1kb)	10	129845670	129854435	8766	1	ENST00000467366.1	0	PTPRE	ENSG00000132334.12
chr10	129789080	129791249	20775	Promoter (3-4kb)	10	129785608	129854434	68827	1	ENST00000471218.1	3473	PTPRE	ENSG00000132334.12
chr8	98955050	98958279	16870	Promoter (4-5kb)	8	98962967	99006824	43858	1	ENST00000519585.1	-4688	MATN2	ENSG00000132561.9
chr8	98937130	98939149	16868	Promoter (4-5kb)	8	98943569	99048442	104874	1	ENST00000518154.1	-4420	MATN2	ENSG00000132561.9
chr20	11870100	11873499	33745	Promoter (<=1kb)	20	11871371	11907257	35887	1	ENST00000254977.3	0	BTBD3	ENSG00000132640.10
chr20	19866100	19872549	33805	Promoter (<=1kb)	20	19867165	19983101	115937	1	ENST00000255006.6	0	RIN2	ENSG00000132669.8
chr17	16943400	16952699	29747	Promoter (<=1kb)	17	16945859	17034933	89075	1	ENST00000577514.1	0	MPRIP	ENSG00000133030.15
chr13	43564880	43568299	24943	Promoter (<=1kb)	13	43460524	43566366	105843	2	ENST00000313640.7	0	EPSTI1	ENSG00000133106.10
chr11	12256080	12258799	21130	Promoter (2-3kb)	11	12261007	12278780	17774	1	ENST00000525075.1	-2208	MICAL2	ENSG00000133816.9
chr11	12217300	12224199	21127	Promoter (<=1kb)	11	12217492	12219358	1867	1	ENST00000532166.1	0	MICAL2	ENSG00000133816.9
chr8	23223280	23225349	16250	Promoter (3-4kb)	8	23217679	23228639	10961	2	ENST00000518083.1	3290	LOXL2	ENSG00000134013.11
chr1	117528830	117532099	2071	Promoter (<=1kb)	1	117529662	117532972	3311	1	ENST00000497385.1	0	PTGFRN	ENSG00000134247.9
chr12	45608280	45612229	23378	Promoter (<=1kb)	12	45566847	45609789	42943	2	ENST00000256692.5	0	PLEKHA8P1	ENSG00000134297.6
chr5	52774380	52779599	10611	Promoter (<=1kb)	5	52776239	52782964	6726	1	ENST00000256759.3	0	FST	ENSG00000134363.7
chr18	20806630	20813079	31512	Promoter (<=1kb)	18	20777108	20806972	29865	2	ENST00000584625.1	0	TMEM241	ENSG00000134490.9
chr12	13348000	13354999	23121	Promoter (<=1kb)	12	13349650	13369708	20059	1	ENST00000256951.5	0	EMP1	ENSG00000134531.5
chr1	31536250	31538879	840	Promoter (<=1kb)	1	31404353	31538542	134190	2	ENST00000424085.2	0	PUM1	ENSG00000134644.11
chr9	71990400	71992399	17832	Promoter (<=1kb)	9	71990699	72007370	16672	1	ENST00000460871.1	0	FAM189A2	ENSG00000135063.13
chr5	156997500	156999629	11807	Promoter (3-4kb)	5	156908235	157002749	94515	2	ENST00000517905.1	3120	ADAM19	ENSG00000135074.11
chr6	86158280	86161829	13359	Promoter (<=1kb)	6	86159809	86181317	21509	1	ENST00000369646.3	0	NT5E	ENSG00000135318.7
chr12	54068250	54072479	23597	Promoter (<=1kb)	12	54058950	54069899	10950	2	ENST00000602871.1	0	ATP5G2	ENSG00000135390.13
chr1	182556350	182559799	2741	Promoter (<=1kb)	1	182542769	182558391	15623	2	ENST00000367559.3	0	RNASEL	ENSG00000135828.7
chr17	62306930	62310049	30732	Promoter (<=1kb)	17	62225034	62308116	83083	2	ENST00000583097.1	0	TEX2	ENSG00000136478.3
chr9	129889850	129901079	18541	Promoter (4-5kb)	9	129849611	129885162	35552	2	ENST00000373425.3	-4689	ANGPTL2	ENSG00000136859.5
chr8	128746080	128752599	17145	Promoter (<=1kb)	8	128747680	128752723	5044	1	ENST00000259523.6	0	MYC	ENSG00000136997.10
chr8	70403850	70407399	16679	Promoter (<=1kb)	8	70404996	70572290	167295	1	ENST00000402687.4	0	SULF1	ENSG00000137573.9
chr11	111597230	111610399	22396	Promoter (<=1kb)	11	111597694	111606047	8354	2	ENST00000530787.1	0	PPP2R1B	ENSG00000137713.11
chr15	71059230	71062099	27373	Promoter (3-4kb)	15	70946893	71055932	109040	2	ENST00000322954.6	-3299	UACA	ENSG00000137831.10
chr2	44000530	44002779	4389	Promoter (<=1kb)	2	44001178	44037149	35972	1	ENST00000260605.8	0	DYNC2LI1	ENSG00000138036.14
chr2	38299030	38302099	4238	Promoter (<=1kb)	2	38298130	38301079	2950	2	ENST00000492443.1	0	CYP1B1	ENSG00000138061.7
chr2	38332550	38335299	4244	Promoter (1-2kb)	2	38297209	38337044	39836	2	ENST00000494864.1	1745	CYP1B1	ENSG00000138061.7
chr10	95750980	95752979	20235	Promoter (<=1kb)	10	95753746	96088149	334404	1	ENST00000260766.3	-767	PLCE1	ENSG00000138193.10
chr2	170679980	170682099	5596	Promoter (<=1kb)	2	170666591	170681415	14825	2	ENST00000409837.1	0	METTL5	ENSG00000138382.9
chr4	120546050	120550579	9724	Promoter (<=1kb)	4	120415550	120550146	134597	2	ENST00000354960.3	0	PDE5A	ENSG00000138735.11
chr4	77904680	77907779	9422	Promoter (<=1kb)	4	77906177	77932928	26752	1	ENST00000512778.1	0	sep-11	ENSG00000138758.7
chr12	31810630	31813549	23316	Promoter (<=1kb)	12	31812121	31821901	9781	1	ENST00000395763.3	0	METTL20	ENSG00000139160.9
chr12	75872950	75876599	23834	Promoter (<=1kb)	12	75874460	75897633	23174	1	ENST00000266659.3	0	GLIPR1	ENSG00000139278.5
chr12	76421480	76425399	23848	Promoter (<=1kb)	12	76419227	76425384	6158	2	ENST00000602540.1	0	PHLDA1	ENSG00000139289.9
chr12	91501150	91506449	23887	Promoter (<=1kb)	12	91496406	91505608	9203	2	ENST00000266718.4	0	LUM	ENSG00000139329.4
chr12	54750850	54755479	23613	Promoter (2-3kb)	12	54756229	54758258	2030	2	ENST00000267015.3	2779	GPR84	ENSG00000139572.3
chr12	53885300	53889329	23588	Promoter (<=1kb)	12	53874906	53887650	12745	2	ENST00000547035.1	0	MAP3K12	ENSG00000139625.8
chr14	27065800	27068999	25597	Promoter (<=1kb)	14	26912299	27066725	154427	2	ENST00000483536.2	0	NOVA1	ENSG00000139910.15
chr15	101981700	101986999	28003	Promoter (<=1kb)	15	101844134	101983868	139735	2	ENST00000398185.2	0	PCSK6	ENSG00000140479.12
chr16	73075550	73094829	29037	Promoter (<=1kb)	16	72816784	73082274	265491	2	ENST00000268489.5	0	ZFHX3	ENSG00000140836.10
chr17	25783430	25786599	29909	Promoter (<=1kb)	17	25783670	25944768	161099	1	ENST00000509603.2	0	KSR1	ENSG00000141068.9
chr17	535650	537699	29353	Promoter (4-5kb)	17	504120	531471	27352	2	ENST00000570650.1	-4180	VPS53	ENSG00000141252.15
chr17	45907450	45909549	30408	Promoter (<=1kb)	17	45908993	45915079	6087	1	ENST00000269025.4	0	LRRC46	ENSG00000141294.5
chr18	47806350	47808629	31740	Promoter (<=1kb)	18	47793252	47807829	14578	2	ENST00000585672.1	0	MBD1	ENSG00000141644.13
chr19	41813200	41817729	33019	Promoter (<=1kb)	19	41816094	41830788	14695	1	ENST00000269967.3	0	CCDC97	ENSG00000142039.3
chr1	95324480	95333129	1816	Promoter (<=1kb)	1	95332887	95360608	27722	1	ENST00000532670.1	0	SLC44A3	ENSG00000143036.12
chr1	165412150	165415149	2524	Promoter (<=1kb)	1	165370159	165414433	44275	2	ENST00000359842.5	0	RXRG	ENSG00000143171.8
chr1	165392880	165396499	2523	Promoter (<=1kb)	1	165379987	165394209	14223	2	ENST00000470566.1	0	RXRG	ENSG00000143171.8
chr1	165795450	165799879	2536	Promoter (<=1kb)	1	165796768	165877346	80579	1	ENST00000367879.4	0	UCK2	ENSG00000143179.8
chr1	168695080	168697729	2582	Promoter (<=1kb)	1	168664697	168698502	33806	2	ENST00000367817.3	773	DPT	ENSG00000143196.4
chr1	236045530	236047629	3596	Promoter (<=1kb)	1	235922475	236046940	124466	2	ENST00000489585.1	0	LYST	ENSG00000143669.9
chr2	19562050	19564099	3910	Promoter (3-4kb)	2	19551246	19558414	7169	2	ENST00000272223.2	-3637	OSR1	ENSG00000143867.5
