Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Transcript Biotype	Ensembl Gene ID
19	39876492	39881835	PAF1	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25459]	protein_coding	ENSG00000006712
7	38762563	38971994	VPS41	vacuolar protein sorting 41 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:12713]	protein_coding	ENSG00000006715
17	12692856	12894960	ARHGAP44	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:29096]	protein_coding	ENSG00000006740
17	12895708	12921504	ELAC2	elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:14198]	protein_coding	ENSG00000006744
7	12610203	12693228	SCIN	scinderin [Source:HGNC Symbol;Acc:21695]	protein_coding	ENSG00000006747
X	2822011	2847392	ARSD	arylsulfatase D [Source:HGNC Symbol;Acc:717]	protein_coding	ENSG00000006756
X	7866288	7895780	PNPLA4	patatin-like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:24887]	protein_coding	ENSG00000006757
17	10201401	10276447	MYH13	myosin, heavy chain 13, skeletal muscle [Source:HGNC Symbol;Acc:7571]	protein_coding	ENSG00000006788
12	1797740	1897844	ADIPOR2	adiponectin receptor 2 [Source:HGNC Symbol;Acc:24041]	protein_coding	ENSG00000006831
5	133541305	133706738	CDKL3	cyclin-dependent kinase-like 3 [Source:HGNC Symbol;Acc:15483]	protein_coding	ENSG00000006837
2	158733214	158992666	UPP2	uridine phosphorylase 2 [Source:HGNC Symbol;Acc:23061]	protein_coding	ENSG00000007001
16	2867164	2876305	PRSS21	protease, serine, 21 (testisin) [Source:HGNC Symbol;Acc:9485]	protein_coding	ENSG00000007038
19	45582546	45808541	MARK4	MAP/microtubule affinity-regulating kinase 4 [Source:HGNC Symbol;Acc:13538]	protein_coding	ENSG00000007047
4	15964699	16086001	PROM1	prominin 1 [Source:HGNC Symbol;Acc:9454]	protein_coding	ENSG00000007062
19	18043825	18054800	CCDC124	coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:25171]	protein_coding	ENSG00000007080
19	42055886	42093197	CEACAM21	carcinoembryonic antigen-related cell adhesion molecule 21 [Source:HGNC Symbol;Acc:28834]	protein_coding	ENSG00000007129
17	2496504	2588909	PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa) [Source:HGNC Symbol;Acc:8574]	protein_coding	ENSG00000007168
17	26083792	26127525	NOS2	nitric oxide synthase 2, inducible [Source:HGNC Symbol;Acc:7873]	protein_coding	ENSG00000007171
17	11501748	11873065	DNAH9	dynein, axonemal, heavy chain 9 [Source:HGNC Symbol;Acc:2953]	protein_coding	ENSG00000007174
17	26941458	26972472	KIAA0100	KIAA0100 [Source:HGNC Symbol;Acc:28960]	protein_coding	ENSG00000007202
17	26800311	26824799	SLC13A2	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:HGNC Symbol;Acc:10917]	protein_coding	ENSG00000007216
17	9813926	10101868	GAS7	growth arrest-specific 7 [Source:HGNC Symbol;Acc:4169]	protein_coding	ENSG00000007237
19	45666186	45681495	TRAPPC6A	trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:23069]	protein_coding	ENSG00000007255
19	3777971	3802127	MATK	megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:6906]	protein_coding	ENSG00000007264
19	42177235	42210895	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7 [Source:HGNC Symbol;Acc:1819]	protein_coding	ENSG00000007306
17	62006100	62009714	CD79B	CD79b molecule, immunoglobulin-associated beta [Source:HGNC Symbol;Acc:1699]	protein_coding	ENSG00000007312
17	62015914	62050278	SCN4A	sodium channel, voltage-gated, type IV, alpha subunit [Source:HGNC Symbol;Acc:10591]	protein_coding	ENSG00000007314
1	113066140	113163447	ST7L	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:18441]	protein_coding	ENSG00000007341
X	153524024	153558700	TKTL1	transketolase-like 1 [Source:HGNC Symbol;Acc:11835]	protein_coding	ENSG00000007350
11	31806340	31839509	PAX6	paired box 6 [Source:HGNC Symbol;Acc:8620]	protein_coding	ENSG00000007372
16	834974	838397	RPUSD1	RNA pseudouridylate synthase domain containing 1 [Source:HGNC Symbol;Acc:14173]	protein_coding	ENSG00000007376
16	108058	126354	RHBDF1	rhomboid 5 homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:20561]	protein_coding	ENSG00000007384
16	238968	279462	LUC7L	LUC7-like (S. cerevisiae) [Source:HGNC Symbol;Acc:6723]	protein_coding	ENSG00000007392
3	50400233	50541675	CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2 [Source:HGNC Symbol;Acc:1400]	protein_coding	ENSG00000007402
16	1383602	1399439	BAIAP3	BAI1-associated protein 3 [Source:HGNC Symbol;Acc:948]	protein_coding	ENSG00000007516
16	1399241	1401912	TSR3	TSR3, 20S rRNA accumulation, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:14175]	protein_coding	ENSG00000007520
16	616995	634136	PIGQ	phosphatidylinositol glycan anchor biosynthesis, class Q [Source:HGNC Symbol;Acc:14135]	protein_coding	ENSG00000007541
16	1662326	1727909	CRAMP1L	Crm, cramped-like (Drosophila) [Source:HGNC Symbol;Acc:14122]	protein_coding	ENSG00000007545
6	35441374	35464853	TEAD3	TEA domain family member 3 [Source:HGNC Symbol;Acc:11716]	protein_coding	ENSG00000007866
1	169691781	169733846	SELE	selectin E [Source:HGNC Symbol;Acc:10718]	protein_coding	ENSG00000007908
1	6694228	6761984	DNAJC11	DnaJ (Hsp40) homolog, subfamily C, member 11 [Source:HGNC Symbol;Acc:25570]	protein_coding	ENSG00000007923
1	171060018	171086959	FMO3	flavin containing monooxygenase 3 [Source:HGNC Symbol;Acc:3771]	protein_coding	ENSG00000007933
6	16129356	16148479	MYLIP	myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:21155]	protein_coding	ENSG00000007944
X	100098313	100129334	NOX1	NADPH oxidase 1 [Source:HGNC Symbol;Acc:7889]	protein_coding	ENSG00000007952
1	23832922	23857712	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:3114]	protein_coding	ENSG00000007968
