Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Transcript Biotype	Ensembl Gene ID
16	30844947	30906281	BCL7C	B-cell CLL/lymphoma 7C [Source:HGNC Symbol;Acc:1006]	protein_coding	ENSG00000099385
22	20099389	20104915	TRMT2A	tRNA methyltransferase 2 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:24974]	protein_coding	ENSG00000099899
22	20103461	20114878	RANBP1	RAN binding protein 1 [Source:HGNC Symbol;Acc:9847]	protein_coding	ENSG00000099901
22	20116979	20135530	ZDHHC8	zinc finger, DHHC-type containing 8 [Source:HGNC Symbol;Acc:18474]	protein_coding	ENSG00000099904
22	24407642	24574596	CABIN1	calcineurin binding protein 1 [Source:HGNC Symbol;Acc:24187]	protein_coding	ENSG00000099991
22	24577227	24585078	SUSD2	sushi domain containing 2 [Source:HGNC Symbol;Acc:30667]	protein_coding	ENSG00000099994
22	25747385	25801344	LRP5L	low density lipoprotein receptor-related protein 5-like [Source:HGNC Symbol;Acc:25323]	protein_coding	ENSG00000100068
22	42979727	43010968	POLDIP3	polymerase (DNA-directed), delta interacting protein 3 [Source:HGNC Symbol;Acc:23782]	protein_coding	ENSG00000100227
22	29708922	29715668	RASL10A	RAS-like, family 10, member A [Source:HGNC Symbol;Acc:16954]	protein_coding	ENSG00000100276
22	51017378	51039884	CHKB	choline kinase beta [Source:HGNC Symbol;Acc:1938]	protein_coding	ENSG00000100288
22	41855721	41864729	PHF5A	PHD finger protein 5A [Source:HGNC Symbol;Acc:18000]	protein_coding	ENSG00000100410
22	41865129	41924993	ACO2	aconitase 2, mitochondrial [Source:HGNC Symbol;Acc:118]	protein_coding	ENSG00000100412
14	24612574	24616779	PSME2	proteasome (prosome, macropain) activator subunit 2 (PA28 beta) [Source:HGNC Symbol;Acc:9569]	protein_coding	ENSG00000100911
20	61427805	61431945	MRGBP	MRG/MORF4L binding protein [Source:HGNC Symbol;Acc:15866]	protein_coding	ENSG00000101189
20	62119366	62130505	EEF1A2	eukaryotic translation elongation factor 1 alpha 2 [Source:HGNC Symbol;Acc:3192]	protein_coding	ENSG00000101210
20	62218955	62258394	GMEB2	glucocorticoid modulatory element binding protein 2 [Source:HGNC Symbol;Acc:4371]	protein_coding	ENSG00000101216
20	3734155	3749034	C20orf27	chromosome 20 open reading frame 27 [Source:HGNC Symbol;Acc:15873]	protein_coding	ENSG00000101220
20	30598245	30619984	CCM2L	cerebral cavernous malformation 2-like [Source:HGNC Symbol;Acc:16153]	protein_coding	ENSG00000101331
16	30789778	30798523	ZNF629	zinc finger protein 629 [Source:HGNC Symbol;Acc:29008]	protein_coding	ENSG00000102870
16	58496750	58547532	NDRG4	NDRG family member 4 [Source:HGNC Symbol;Acc:14466]	protein_coding	ENSG00000103034
16	68279207	68294961	PLA2G15	phospholipase A2, group XV [Source:HGNC Symbol;Acc:17163]	protein_coding	ENSG00000103066
16	68263014	68272005	ESRP2	epithelial splicing regulatory protein 2 [Source:HGNC Symbol;Acc:26152]	protein_coding	ENSG00000103067
16	83932731	83949787	MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:7150]	protein_coding	ENSG00000103150
16	127006	135852	MPG	N-methylpurine-DNA glycosylase [Source:HGNC Symbol;Acc:7211]	protein_coding	ENSG00000103152
16	84155886	84178797	HSDL1	hydroxysteroid dehydrogenase like 1 [Source:HGNC Symbol;Acc:16475]	protein_coding	ENSG00000103160
16	31117428	31124110	BCKDK	branched chain ketoacid dehydrogenase kinase [Source:HGNC Symbol;Acc:16902]	protein_coding	ENSG00000103507
16	19714902	19729557	KNOP1	lysine-rich nucleolar protein 1 [Source:HGNC Symbol;Acc:34404]	protein_coding	ENSG00000103550
8	144635377	144645232	GSDMD	gasdermin D [Source:HGNC Symbol;Acc:25697]	protein_coding	ENSG00000104518
8	144661867	144681711	EEF1D	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein) [Source:HGNC Symbol;Acc:3211]	protein_coding	ENSG00000104529
8	1772142	1906807	ARHGEF10	Rho guanine nucleotide exchange factor (GEF) 10 [Source:HGNC Symbol;Acc:14103]	protein_coding	ENSG00000104728
19	39078281	39109522	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1 [Source:HGNC Symbol;Acc:6863]	protein_coding	ENSG00000104814
19	49838428	49846592	CD37	CD37 molecule [Source:HGNC Symbol;Acc:1666]	protein_coding	ENSG00000104894
19	14142560	14163743	IL27RA	interleukin 27 receptor, alpha [Source:HGNC Symbol;Acc:17290]	protein_coding	ENSG00000104998
19	15225795	15236596	ILVBL	ilvB (bacterial acetolactate synthase)-like [Source:HGNC Symbol;Acc:6041]	protein_coding	ENSG00000105135
19	15218214	15225799	SYDE1	synapse defective 1, Rho GTPase, homolog 1 (C. elegans) [Source:HGNC Symbol;Acc:25824]	protein_coding	ENSG00000105137
19	34850385	34893061	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:4458]	protein_coding	ENSG00000105220
19	49298319	49314286	BCAT2	branched chain amino-acid transaminase 2, mitochondrial [Source:HGNC Symbol;Acc:977]	protein_coding	ENSG00000105552
7	142985308	143004789	CASP2	caspase 2, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1503]	protein_coding	ENSG00000106144
7	44178463	44180931	MYL7	myosin, light chain 7, regulatory [Source:HGNC Symbol;Acc:21719]	protein_coding	ENSG00000106631
7	73703805	73820273	CLIP2	CAP-GLY domain containing linker protein 2 [Source:HGNC Symbol;Acc:2586]	protein_coding	ENSG00000106665
9	139871956	139879887	PTGDS	prostaglandin D2 synthase 21kDa (brain) [Source:HGNC Symbol;Acc:9592]	protein_coding	ENSG00000107317
1	1270656	1284730	DVL1	dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:3084]	protein_coding	ENSG00000107404
10	100175955	100206684	HPS1	Hermansky-Pudlak syndrome 1 [Source:HGNC Symbol;Acc:5163]	protein_coding	ENSG00000107521
17	4871287	4890960	CAMTA2	calmodulin binding transcription activator 2 [Source:HGNC Symbol;Acc:18807]	protein_coding	ENSG00000108509
17	19240867	19281495	B9D1	B9 protein domain 1 [Source:HGNC Symbol;Acc:24123]	protein_coding	ENSG00000108641
17	76967320	76976191	LGALS3BP	lectin, galactoside-binding, soluble, 3 binding protein [Source:HGNC Symbol;Acc:6564]	protein_coding	ENSG00000108679
17	40701232	40707231	HSD17B1	hydroxysteroid (17-beta) dehydrogenase 1 [Source:HGNC Symbol;Acc:5210]	protein_coding	ENSG00000108786
17	48445218	48450575	MRPL27	mitochondrial ribosomal protein L27 [Source:HGNC Symbol;Acc:14483]	protein_coding	ENSG00000108826
11	64662007	64684722	ATG2A	autophagy related 2A [Source:HGNC Symbol;Acc:29028]	protein_coding	ENSG00000110046
11	47290712	47351582	MADD	MAP-kinase activating death domain [Source:HGNC Symbol;Acc:6766]	protein_coding	ENSG00000110514
11	63706431	63724800	NAA40	N(alpha)-acetyltransferase 40, NatD catalytic subunit [Source:HGNC Symbol;Acc:25845]	protein_coding	ENSG00000110583
11	67259239	67273734	PITPNM1	phosphatidylinositol transfer protein, membrane-associated 1 [Source:HGNC Symbol;Acc:9003]	protein_coding	ENSG00000110697
12	7033626	7051484	ATN1	atrophin 1 [Source:HGNC Symbol;Acc:3033]	protein_coding	ENSG00000111676
12	7052141	7055166	C12orf57	chromosome 12 open reading frame 57 [Source:HGNC Symbol;Acc:29521]	protein_coding	ENSG00000111678
12	7055631	7070479	PTPN6	protein tyrosine phosphatase, non-receptor type 6 [Source:HGNC Symbol;Acc:9658]	protein_coding	ENSG00000111679
6	14117872	14137149	CD83	CD83 molecule [Source:HGNC Symbol;Acc:1703]	protein_coding	ENSG00000112149
6	43139037	43149243	SRF	serum response factor (c-fos serum response element-binding transcription factor) [Source:HGNC Symbol;Acc:11291]	protein_coding	ENSG00000112658
5	175085033	175113245	HRH2	histamine receptor H2 [Source:HGNC Symbol;Acc:5183]	protein_coding	ENSG00000113749
3	50337320	50349812	HYAL1	hyaluronoglucosaminidase 1 [Source:HGNC Symbol;Acc:5320]	protein_coding	ENSG00000114378
3	196662273	196669468	NCBP2	nuclear cap binding protein subunit 2, 20kDa [Source:HGNC Symbol;Acc:7659]	protein_coding	ENSG00000114503
3	183637722	183735803	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5 [Source:HGNC Symbol;Acc:56]	protein_coding	ENSG00000114770
3	52002526	52017425	ABHD14B	abhydrolase domain containing 14B [Source:HGNC Symbol;Acc:28235]	protein_coding	ENSG00000114779
3	52009066	52023199	ABHD14A-ACY1	ABHD14A-ACY1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:38856]	protein_coding	ENSG00000114786
2	220492049	220506702	SLC4A3	solute carrier family 4 (anion exchanger), member 3 [Source:HGNC Symbol;Acc:11029]	protein_coding	ENSG00000114923
2	27548716	27579868	GTF3C2	general transcription factor IIIC, polypeptide 2, beta 110kDa [Source:HGNC Symbol;Acc:4665]	protein_coding	ENSG00000115207
2	238394071	238463961	MLPH	melanophilin [Source:HGNC Symbol;Acc:29643]	protein_coding	ENSG00000115648
2	220074490	220083712	ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6 [Source:HGNC Symbol;Acc:47]	protein_coding	ENSG00000115657
1	12040238	12073571	MFN2	mitofusin 2 [Source:HGNC Symbol;Acc:16877]	protein_coding	ENSG00000116688
1	12079523	12092102	MIIP	migration and invasion inhibitory protein [Source:HGNC Symbol;Acc:25715]	protein_coding	ENSG00000116691
1	16010827	16061264	PLEKHM2	pleckstrin homology domain containing, family M (with RUN domain) member 2 [Source:HGNC Symbol;Acc:29131]	protein_coding	ENSG00000116786
1	205473723	205501921	CDK18	cyclin-dependent kinase 18 [Source:HGNC Symbol;Acc:8751]	protein_coding	ENSG00000117266
1	44412611	44433694	IPO13	importin 13 [Source:HGNC Symbol;Acc:16853]	protein_coding	ENSG00000117408
19	1189406	1228428	STK11	serine/threonine kinase 11 [Source:HGNC Symbol;Acc:11389]	protein_coding	ENSG00000118046
1	150229554	150237478	CA14	carbonic anhydrase XIV [Source:HGNC Symbol;Acc:1372]	protein_coding	ENSG00000118298
10	100143322	100174941	PYROXD2	pyridine nucleotide-disulphide oxidoreductase domain 2 [Source:HGNC Symbol;Acc:23517]	protein_coding	ENSG00000119943
3	142315229	142432506	PLS1	plastin 1 [Source:HGNC Symbol;Acc:9090]	protein_coding	ENSG00000120756
8	22435792	22455538	PDLIM2	PDZ and LIM domain 2 (mystique) [Source:HGNC Symbol;Acc:13992]	protein_coding	ENSG00000120913
12	57522276	57607134	LRP1	low density lipoprotein receptor-related protein 1 [Source:HGNC Symbol;Acc:6692]	protein_coding	ENSG00000123384
16	67696848	67701168	ENKD1	enkurin domain containing 1 [Source:HGNC Symbol;Acc:25246]	protein_coding	ENSG00000124074
20	44044717	44054884	PIGT	phosphatidylinositol glycan anchor biosynthesis, class T [Source:HGNC Symbol;Acc:14938]	protein_coding	ENSG00000124155
6	42989383	43001894	RRP36	ribosomal RNA processing 36 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:21374]	protein_coding	ENSG00000124541
6	42981951	42989036	KLHDC3	kelch domain containing 3 [Source:HGNC Symbol;Acc:20704]	protein_coding	ENSG00000124702
20	3801178	3805949	AP5S1	adaptor-related protein complex 5, sigma 1 subunit [Source:HGNC Symbol;Acc:15875]	protein_coding	ENSG00000125843
1	45100910	45140227	TMEM53	transmembrane protein 53 [Source:HGNC Symbol;Acc:26186]	protein_coding	ENSG00000126106
13	113548692	113754053	MCF2L	MCF.2 cell line derived transforming sequence-like [Source:HGNC Symbol;Acc:14576]	protein_coding	ENSG00000126217
11	64085560	64089283	PRDX5	peroxiredoxin 5 [Source:HGNC Symbol;Acc:9355]	protein_coding	ENSG00000126432
19	50179043	50192286	PRMT1	protein arginine methyltransferase 1 [Source:HGNC Symbol;Acc:5187]	protein_coding	ENSG00000126457
19	50083903	50094272	PRRG2	proline rich Gla (G-carboxyglutamic acid) 2 [Source:HGNC Symbol;Acc:9470]	protein_coding	ENSG00000126460
19	50094900	50129696	PRR12	proline rich 12 [Source:HGNC Symbol;Acc:29217]	protein_coding	ENSG00000126464
12	7072408	7105520	EMG1	EMG1 N1-specific pseudouridine methyltransferase [Source:HGNC Symbol;Acc:16912]	protein_coding	ENSG00000126749
9	95375466	95432547	IPPK	inositol 1,3,4,5,6-pentakisphosphate 2-kinase [Source:HGNC Symbol;Acc:14645]	protein_coding	ENSG00000127080
19	17402940	17421045	ABHD8	abhydrolase domain containing 8 [Source:HGNC Symbol;Acc:23759]	protein_coding	ENSG00000127220
10	135175984	135187193	ECHS1	enoyl CoA hydratase, short chain, 1, mitochondrial [Source:HGNC Symbol;Acc:3151]	protein_coding	ENSG00000127884
7	75528518	75616173	POR	P450 (cytochrome) oxidoreductase [Source:HGNC Symbol;Acc:9208]	protein_coding	ENSG00000127948
22	20301799	20307603	DGCR6L	DiGeorge syndrome critical region gene 6-like [Source:HGNC Symbol;Acc:18551]	protein_coding	ENSG00000128185
22	24813847	24838328	ADORA2A	adenosine A2a receptor [Source:HGNC Symbol;Acc:263]	protein_coding	ENSG00000128271
7	128470431	128499328	FLNC	filamin C, gamma [Source:HGNC Symbol;Acc:3756]	protein_coding	ENSG00000128591
15	41245160	41248710	CHAC1	ChaC, cation transport regulator homolog 1 (E. coli) [Source:HGNC Symbol;Acc:28680]	protein_coding	ENSG00000128965
16	420773	437113	TMEM8A	transmembrane protein 8A [Source:HGNC Symbol;Acc:17205]	protein_coding	ENSG00000129925
19	416583	460996	SHC2	SHC (Src homology 2 domain containing) transforming protein 2 [Source:HGNC Symbol;Acc:29869]	protein_coding	ENSG00000129946
19	11546109	11561783	PRKCSH	protein kinase C substrate 80K-H [Source:HGNC Symbol;Acc:9411]	protein_coding	ENSG00000130175
19	17666403	17693971	COLGALT1	collagen beta(1-O)galactosyltransferase 1 [Source:HGNC Symbol;Acc:26182]	protein_coding	ENSG00000130309
19	17403418	17417652	MRPL34	mitochondrial ribosomal protein L34 [Source:HGNC Symbol;Acc:14488]	protein_coding	ENSG00000130312
20	62605466	62611361	SAMD10	sterile alpha motif domain containing 10 [Source:HGNC Symbol;Acc:16129]	protein_coding	ENSG00000130590
11	1874200	1913497	LSP1	lymphocyte-specific protein 1 [Source:HGNC Symbol;Acc:6707]	protein_coding	ENSG00000130592
11	1940792	1959936	TNNT3	troponin T type 3 (skeletal, fast) [Source:HGNC Symbol;Acc:11950]	protein_coding	ENSG00000130595
11	1860219	1862910	TNNI2	troponin I type 2 (skeletal, fast) [Source:HGNC Symbol;Acc:11946]	protein_coding	ENSG00000130598
9	133320316	133376661	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:758]	protein_coding	ENSG00000130707
16	684429	686358	C16orf13	chromosome 16 open reading frame 13 [Source:HGNC Symbol;Acc:14141]	protein_coding	ENSG00000130731
19	47549165	47551888	TMEM160	transmembrane protein 160 [Source:HGNC Symbol;Acc:26042]	protein_coding	ENSG00000130748
19	47523077	47549033	NPAS1	neuronal PAS domain protein 1 [Source:HGNC Symbol;Acc:7894]	protein_coding	ENSG00000130751
1	3370990	3397677	ARHGEF16	Rho guanine nucleotide exchange factor (GEF) 16 [Source:HGNC Symbol;Acc:15515]	protein_coding	ENSG00000130762
1	10696661	10856707	CASZ1	castor zinc finger 1 [Source:HGNC Symbol;Acc:26002]	protein_coding	ENSG00000130940
17	37793318	37819737	STARD3	StAR-related lipid transfer (START) domain containing 3 [Source:HGNC Symbol;Acc:17579]	protein_coding	ENSG00000131748
2	86371055	86422893	IMMT	inner membrane protein, mitochondrial [Source:HGNC Symbol;Acc:6047]	protein_coding	ENSG00000132305
17	2592680	2615957	CLUH	clustered mitochondria (cluA/CLU1) homolog [Source:HGNC Symbol;Acc:29094]	protein_coding	ENSG00000132361
17	1397865	1420182	INPP5K	inositol polyphosphate-5-phosphatase K [Source:HGNC Symbol;Acc:33882]	protein_coding	ENSG00000132376
17	4442192	4458926	MYBBP1A	MYB binding protein (P160) 1a [Source:HGNC Symbol;Acc:7546]	protein_coding	ENSG00000132382
3	127872297	128127485	EEFSEC	eukaryotic elongation factor, selenocysteine-tRNA-specific [Source:HGNC Symbol;Acc:24614]	protein_coding	ENSG00000132394
11	68671310	68708070	IGHMBP2	immunoglobulin mu binding protein 2 [Source:HGNC Symbol;Acc:5542]	protein_coding	ENSG00000132740
19	1985447	2034880	BTBD2	BTB (POZ) domain containing 2 [Source:HGNC Symbol;Acc:15504]	protein_coding	ENSG00000133243
11	64570982	64578766	MEN1	multiple endocrine neoplasia I [Source:HGNC Symbol;Acc:7010]	protein_coding	ENSG00000133895
5	68513587	68525956	MRPS36	mitochondrial ribosomal protein S36 [Source:HGNC Symbol;Acc:16631]	protein_coding	ENSG00000134056
18	32073254	32471808	DTNA	dystrobrevin, alpha [Source:HGNC Symbol;Acc:3057]	protein_coding	ENSG00000134769
11	57001051	57004709	APLNR	apelin receptor [Source:HGNC Symbol;Acc:339]	protein_coding	ENSG00000134817
13	110958159	111165374	COL4A2	collagen, type IV, alpha 2 [Source:HGNC Symbol;Acc:2203]	protein_coding	ENSG00000134871
12	58118980	58135940	AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:16921]	protein_coding	ENSG00000135439
2	71680852	71913898	DYSF	dysferlin [Source:HGNC Symbol;Acc:3097]	protein_coding	ENSG00000135636
7	44084239	44109055	DBNL	drebrin-like [Source:HGNC Symbol;Acc:2696]	protein_coding	ENSG00000136279
9	130556876	130576606	FPGS	folylpolyglutamate synthase [Source:HGNC Symbol;Acc:3824]	protein_coding	ENSG00000136877
9	35808042	35812269	SPAG8	sperm associated antigen 8 [Source:HGNC Symbol;Acc:14105]	protein_coding	ENSG00000137098
9	35814448	35854844	TMEM8B	transmembrane protein 8B [Source:HGNC Symbol;Acc:21427]	protein_coding	ENSG00000137103
9	35812957	35815351	HINT2	histidine triad nucleotide binding protein 2 [Source:HGNC Symbol;Acc:18344]	protein_coding	ENSG00000137133
6	36822603	36842800	PPIL1	peptidylprolyl isomerase (cyclophilin)-like 1 [Source:HGNC Symbol;Acc:9260]	protein_coding	ENSG00000137168
6	43479565	43484728	YIPF3	Yip1 domain family, member 3 [Source:HGNC Symbol;Acc:21023]	protein_coding	ENSG00000137207
11	74811608	74917594	SLCO2B1	solute carrier organic anion transporter family, member 2B1 [Source:HGNC Symbol;Acc:10962]	protein_coding	ENSG00000137491
1	100652475	100715390	DBT	dihydrolipoamide branched chain transacylase E2 [Source:HGNC Symbol;Acc:2698]	protein_coding	ENSG00000137992
2	26466038	26513336	HADHB	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit [Source:HGNC Symbol;Acc:4803]	protein_coding	ENSG00000138029
4	106629935	106768885	GSTCD	glutathione S-transferase, C-terminal domain containing [Source:HGNC Symbol;Acc:25806]	protein_coding	ENSG00000138780
4	106603784	106817143	INTS12	integrator complex subunit 12 [Source:HGNC Symbol;Acc:25067]	protein_coding	ENSG00000138785
9	116207011	116360018	RGS3	regulator of G-protein signaling 3 [Source:HGNC Symbol;Acc:9999]	protein_coding	ENSG00000138835
15	40731920	40760441	BAHD1	bromo adjacent homology domain containing 1 [Source:HGNC Symbol;Acc:29153]	protein_coding	ENSG00000140320
15	74509613	74628813	CCDC33	coiled-coil domain containing 33 [Source:HGNC Symbol;Acc:26552]	protein_coding	ENSG00000140481
16	46740891	46824319	MYLK3	myosin light chain kinase 3 [Source:HGNC Symbol;Acc:29826]	protein_coding	ENSG00000140795
