Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Transcript Biotype	Ensembl Gene ID
1	230193536	230417870	GALNT2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2) [Source:HGNC Symbol;Acc:4124]	protein_coding	ENSG00000143641
3	42846244	42929466	ACKR2	atypical chemokine receptor 2 [Source:HGNC Symbol;Acc:1565]	protein_coding	ENSG00000144648
3	194308402	194354418	TMEM44	transmembrane protein 44 [Source:HGNC Symbol;Acc:25120]	protein_coding	ENSG00000145014
5	77781038	78065844	LHFPL2	lipoma HMGIC fusion partner-like 2 [Source:HGNC Symbol;Acc:6588]	protein_coding	ENSG00000145685
5	166711804	167691162	TENM2	teneurin transmembrane protein 2 [Source:HGNC Symbol;Acc:29943]	protein_coding	ENSG00000145934
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	protein_coding	ENSG00000146426
8	23386318	23432976	SLC25A37	solute carrier family 25 (mitochondrial iron transporter), member 37 [Source:HGNC Symbol;Acc:29786]	protein_coding	ENSG00000147454
9	97488983	97849441	C9orf3	chromosome 9 open reading frame 3 [Source:HGNC Symbol;Acc:1361]	protein_coding	ENSG00000148120
9	132815705	132902448	GPR107	G protein-coupled receptor 107 [Source:HGNC Symbol;Acc:17830]	protein_coding	ENSG00000148358
20	10415951	10617477	SLX4IP	SLX4 interacting protein [Source:HGNC Symbol;Acc:16225]	protein_coding	ENSG00000149346
13	23902965	24007841	SACS	spastic ataxia of Charlevoix-Saguenay (sacsin) [Source:HGNC Symbol;Acc:10519]	protein_coding	ENSG00000151835
1	214522039	214725792	PTPN14	protein tyrosine phosphatase, non-receptor type 14 [Source:HGNC Symbol;Acc:9647]	protein_coding	ENSG00000152104
1	85784164	86043933	DDAH1	dimethylarginine dimethylaminohydrolase 1 [Source:HGNC Symbol;Acc:2715]	protein_coding	ENSG00000153904
15	101459420	101610317	LRRK1	leucine-rich repeat kinase 1 [Source:HGNC Symbol;Acc:18608]	protein_coding	ENSG00000154237
8	18384811	18942240	PSD3	pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:19093]	protein_coding	ENSG00000156011
15	90373831	90437574	AP3S2	adaptor-related protein complex 3, sigma 2 subunit [Source:HGNC Symbol;Acc:571]	protein_coding	ENSG00000157823
11	117075053	117103241	PCSK7	proprotein convertase subtilisin/kexin type 7 [Source:HGNC Symbol;Acc:8748]	protein_coding	ENSG00000160613
12	50031724	50101948	FMNL3	formin-like 3 [Source:HGNC Symbol;Acc:23698]	protein_coding	ENSG00000161791
3	30647994	30735634	TGFBR2	transforming growth factor, beta receptor II (70/80kDa) [Source:HGNC Symbol;Acc:11773]	protein_coding	ENSG00000163513
2	28680012	28866654	PLB1	phospholipase B1 [Source:HGNC Symbol;Acc:30041]	protein_coding	ENSG00000163803
7	4683388	4811074	FOXK1	forkhead box K1 [Source:HGNC Symbol;Acc:23480]	protein_coding	ENSG00000164916
10	50222290	50323554	VSTM4	V-set and transmembrane domain containing 4 [Source:HGNC Symbol;Acc:26470]	protein_coding	ENSG00000165633
9	135600965	135754164	AK8	adenylate kinase 8 [Source:HGNC Symbol;Acc:26526]	protein_coding	ENSG00000165695
11	34172535	34379555	ABTB2	ankyrin repeat and BTB (POZ) domain containing 2 [Source:HGNC Symbol;Acc:23842]	protein_coding	ENSG00000166016
11	133938820	134021896	JAM3	junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:15532]	protein_coding	ENSG00000166086
15	71123863	71146498	LARP6	La ribonucleoprotein domain family, member 6 [Source:HGNC Symbol;Acc:24012]	protein_coding	ENSG00000166173
10	104503727	104576021	WBP1L	WW domain binding protein 1-like [Source:HGNC Symbol;Acc:23510]	protein_coding	ENSG00000166272
11	7534529	7678358	PPFIBP2	PTPRF interacting protein, binding protein 2 (liprin beta 2) [Source:HGNC Symbol;Acc:9250]	protein_coding	ENSG00000166387
11	19372271	20143144	NAV2	neuron navigator 2 [Source:HGNC Symbol;Acc:15997]	protein_coding	ENSG00000166833
15	67356101	67487533	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:6769]	protein_coding	ENSG00000166949
21	33784314	33887707	EVA1C	eva-1 homolog C (C. elegans) [Source:HGNC Symbol;Acc:13239]	protein_coding	ENSG00000166979
11	3875757	4114439	STIM1	stromal interaction molecule 1 [Source:HGNC Symbol;Acc:11386]	protein_coding	ENSG00000167323
8	42273993	42397069	SLC20A2	solute carrier family 20 (phosphate transporter), member 2 [Source:HGNC Symbol;Acc:10947]	protein_coding	ENSG00000168575
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	protein_coding	ENSG00000168675
4	4291924	4323513	ZBTB49	zinc finger and BTB domain containing 49 [Source:HGNC Symbol;Acc:19883]	protein_coding	ENSG00000168826
22	28144265	28197486	MN1	meningioma (disrupted in balanced translocation) 1 [Source:HGNC Symbol;Acc:7180]	protein_coding	ENSG00000169184
2	69240310	69476459	ANTXR1	anthrax toxin receptor 1 [Source:HGNC Symbol;Acc:21014]	protein_coding	ENSG00000169604
2	109150857	109303702	LIMS1	LIM and senescent cell antigen-like domains 1 [Source:HGNC Symbol;Acc:6616]	protein_coding	ENSG00000169756
11	111473115	111601577	SIK2	salt-inducible kinase 2 [Source:HGNC Symbol;Acc:21680]	protein_coding	ENSG00000170145
2	101436614	101613291	NPAS2	neuronal PAS domain protein 2 [Source:HGNC Symbol;Acc:7895]	protein_coding	ENSG00000170485
18	60790579	60987361	BCL2	B-cell CLL/lymphoma 2 [Source:HGNC Symbol;Acc:990]	protein_coding	ENSG00000171791
1	95439963	95538501	ALG14	ALG14, UDP-N-acetylglucosaminyltransferase subunit [Source:HGNC Symbol;Acc:28287]	protein_coding	ENSG00000172339
13	21276266	21297237	IL17D	interleukin 17D [Source:HGNC Symbol;Acc:5984]	protein_coding	ENSG00000172458
4	100123795	100140694	ADH6	alcohol dehydrogenase 6 (class V) [Source:HGNC Symbol;Acc:255]	protein_coding	ENSG00000172955
7	63980262	64023484	ZNF680	zinc finger protein 680 [Source:HGNC Symbol;Acc:26897]	protein_coding	ENSG00000173041
13	50656307	51297372	DLEU1	deleted in lymphocytic leukemia 1 (non-protein coding) [Source:HGNC Symbol;Acc:13747]	protein_coding	ENSG00000176124
3	182971032	183016292	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 [Source:HGNC Symbol;Acc:15684]	protein_coding	ENSG00000176597
1	144836157	145076186	PDE4DIP	phosphodiesterase 4D interacting protein [Source:HGNC Symbol;Acc:15580]	protein_coding	ENSG00000178104
7	137559725	137686813	CREB3L2	cAMP responsive element binding protein 3-like 2 [Source:HGNC Symbol;Acc:23720]	protein_coding	ENSG00000182158
15	60639333	60695082	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:537]	protein_coding	ENSG00000182718
15	101417919	101456831	ALDH1A3	aldehyde dehydrogenase 1 family, member A3 [Source:HGNC Symbol;Acc:409]	protein_coding	ENSG00000184254
17	4067201	4167274	ANKFY1	ankyrin repeat and FYVE domain containing 1 [Source:HGNC Symbol;Acc:20763]	protein_coding	ENSG00000185722
3	127634075	127706514	KBTBD12	kelch repeat and BTB (POZ) domain containing 12 [Source:HGNC Symbol;Acc:25731]	protein_coding	ENSG00000187715
3	188665003	189043093	TPRG1	tumor protein p63 regulated 1 [Source:HGNC Symbol;Acc:24759]	protein_coding	ENSG00000188001
9	95087766	95382815	CENPP	centromere protein P [Source:HGNC Symbol;Acc:32933]	protein_coding	ENSG00000188312
10	5680830	5708558	ASB13	ankyrin repeat and SOCS box containing 13 [Source:HGNC Symbol;Acc:19765]	protein_coding	ENSG00000196372
6	129204342	129837714	LAMA2	laminin, alpha 2 [Source:HGNC Symbol;Acc:6482]	protein_coding	ENSG00000196569
5	150480273	150537443	ANXA6	annexin A6 [Source:HGNC Symbol;Acc:544]	protein_coding	ENSG00000197043
10	29746267	30025710	SVIL	supervillin [Source:HGNC Symbol;Acc:11480]	protein_coding	ENSG00000197321
18	74690783	74845639	MBP	myelin basic protein [Source:HGNC Symbol;Acc:6925]	protein_coding	ENSG00000197971
2	238165734	238166319	AC112715.2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:H7C1P4]	protein_coding	ENSG00000224132
14	23016447	23021097	TRAC	T cell receptor alpha constant [Source:HGNC Symbol;Acc:12029]	TR_C_gene	ENSG00000229164
3	42850975	42984284	KRBOX1	KRAB box domain containing 1 [Source:HGNC Symbol;Acc:38708]	protein_coding	ENSG00000240747
13	33006554	33112970	N4BP2L2	NEDD4 binding protein 2-like 2 [Source:HGNC Symbol;Acc:26916]	protein_coding	ENSG00000244754
1	67131547	67142710	AL139147.1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F5H5J5]	protein_coding	ENSG00000248458
15	90377540	90456114	C15orf38-AP3S2	C15orf38-AP3S2 readthrough [Source:HGNC Symbol;Acc:38824]	protein_coding	ENSG00000250021
8	103876528	103990104	KB-1507C5.2	HCG15011, isoform CRA_a; Protein LOC100996457  [Source:UniProtKB/TrEMBL;Acc:G3V139]	protein_coding	ENSG00000253320
15	67435072	67439277	RP11-342M21.2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:H0YK76]	protein_coding	ENSG00000259202
1	87458692	87634884	RP5-1052I5.2	Heparan sulfate 2-O-sulfotransferase 1  [Source:UniProtKB/TrEMBL;Acc:K7EP71]	protein_coding	ENSG00000267561
3	42850938	43097363	KRBOX1	KRAB domain-containing protein 1  [Source:UniProtKB/Swiss-Prot;Acc:C9JBD0]	protein_coding	ENSG00000273291
