Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Transcript Biotype	Ensembl Gene ID	Ensembl Transcript ID
21	33784314	33887707	EVA1C	eva-1 homolog C (C. elegans) [Source:HGNC Symbol;Acc:13239]	nonsense_mediated_decay	ENSG00000166979	ENST00000435323
21	33784314	33887707	EVA1C	eva-1 homolog C (C. elegans) [Source:HGNC Symbol;Acc:13239]	nonsense_mediated_decay	ENSG00000166979	ENST00000437338
21	33784314	33887707	EVA1C	eva-1 homolog C (C. elegans) [Source:HGNC Symbol;Acc:13239]	nonsense_mediated_decay	ENSG00000166979	ENST00000457807
21	33784314	33887707	EVA1C	eva-1 homolog C (C. elegans) [Source:HGNC Symbol;Acc:13239]	protein_coding	ENSG00000166979	ENST00000401402
21	33784314	33887707	EVA1C	eva-1 homolog C (C. elegans) [Source:HGNC Symbol;Acc:13239]	protein_coding	ENSG00000166979	ENST00000382699
21	33784314	33887707	EVA1C	eva-1 homolog C (C. elegans) [Source:HGNC Symbol;Acc:13239]	processed_transcript	ENSG00000166979	ENST00000481638
21	33784314	33887707	EVA1C	eva-1 homolog C (C. elegans) [Source:HGNC Symbol;Acc:13239]	protein_coding	ENSG00000166979	ENST00000412833
21	33784314	33887707	EVA1C	eva-1 homolog C (C. elegans) [Source:HGNC Symbol;Acc:13239]	retained_intron	ENSG00000166979	ENST00000464037
21	33784314	33887707	EVA1C	eva-1 homolog C (C. elegans) [Source:HGNC Symbol;Acc:13239]	processed_transcript	ENSG00000166979	ENST00000496615
21	33784314	33887707	EVA1C	eva-1 homolog C (C. elegans) [Source:HGNC Symbol;Acc:13239]	processed_transcript	ENSG00000166979	ENST00000485488
14	89816629	89831043	RP11-356K23.1		antisense	ENSG00000258752	ENST00000555407
14	89816629	89831043	RP11-356K23.1		antisense	ENSG00000258752	ENST00000556942
8	101487903	101513376	KB-1615E4.2		antisense	ENSG00000253666	ENST00000521851
8	101487903	101513376	KB-1615E4.2		antisense	ENSG00000253666	ENST00000523831
8	101504756	101505941	KB-1615E4.3		antisense	ENSG00000254364	ENST00000523784
9	129677053	129985445	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1 [Source:HGNC Symbol;Acc:16851]	protein_coding	ENSG00000136828	ENST00000259351
9	129677053	129985445	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1 [Source:HGNC Symbol;Acc:16851]	protein_coding	ENSG00000136828	ENST00000394022
9	129677053	129985445	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1 [Source:HGNC Symbol;Acc:16851]	retained_intron	ENSG00000136828	ENST00000373439
9	129677053	129985445	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1 [Source:HGNC Symbol;Acc:16851]	protein_coding	ENSG00000136828	ENST00000394011
9	129677053	129985445	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1 [Source:HGNC Symbol;Acc:16851]	protein_coding	ENSG00000136828	ENST00000319107
9	129677053	129985445	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1 [Source:HGNC Symbol;Acc:16851]	processed_transcript	ENSG00000136828	ENST00000472427
9	129677053	129985445	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1 [Source:HGNC Symbol;Acc:16851]	protein_coding	ENSG00000136828	ENST00000373436
9	129677053	129985445	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1 [Source:HGNC Symbol;Acc:16851]	processed_transcript	ENSG00000136828	ENST00000480993
9	129677053	129985445	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1 [Source:HGNC Symbol;Acc:16851]	protein_coding	ENSG00000136828	ENST00000373434
9	129677053	129985445	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1 [Source:HGNC Symbol;Acc:16851]	processed_transcript	ENSG00000136828	ENST00000477700
9	129677053	129985445	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1 [Source:HGNC Symbol;Acc:16851]	processed_transcript	ENSG00000136828	ENST00000467325
9	129677053	129985445	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1 [Source:HGNC Symbol;Acc:16851]	protein_coding	ENSG00000136828	ENST00000438723
9	129677053	129985445	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1 [Source:HGNC Symbol;Acc:16851]	processed_transcript	ENSG00000136828	ENST00000471643
9	129677053	129985445	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1 [Source:HGNC Symbol;Acc:16851]	protein_coding	ENSG00000136828	ENST00000424082
10	31982012	31996316	RP11-472N13.3		lincRNA	ENSG00000237797	ENST00000433770
5	66675206	67101066	RP11-434D9.1		lincRNA	ENSG00000249364	ENST00000503106
5	66675206	67101066	RP11-434D9.1		lincRNA	ENSG00000249364	ENST00000514368
5	66675206	67101066	RP11-434D9.1		lincRNA	ENSG00000249364	ENST00000513234
5	66675206	67101066	RP11-434D9.1		lincRNA	ENSG00000249364	ENST00000504068
5	66675206	67101066	RP11-434D9.1		lincRNA	ENSG00000249364	ENST00000515227
5	66675206	67101066	RP11-434D9.1		retained_intron	ENSG00000249364	ENST00000509947
8	103935599	103936483	RPL5P24	ribosomal protein L5 pseudogene 24 [Source:HGNC Symbol;Acc:35828]	processed_pseudogene	ENSG00000244052	ENST00000463742
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	protein_coding	ENSG00000146426	ENST00000461783
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	processed_transcript	ENSG00000146426	ENST00000535064
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	processed_transcript	ENSG00000146426	ENST00000460692
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	processed_transcript	ENSG00000146426	ENST00000449545
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	protein_coding	ENSG00000146426	ENST00000545347
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	protein_coding	ENSG00000146426	ENST00000538270
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	protein_coding	ENSG00000146426	ENST00000535231
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	protein_coding	ENSG00000146426	ENST00000528535
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	processed_transcript	ENSG00000146426	ENST00000431620
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	protein_coding	ENSG00000146426	ENST00000535583
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	protein_coding	ENSG00000146426	ENST00000360366
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	protein_coding	ENSG00000146426	ENST00000529824
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	protein_coding	ENSG00000146426	ENST00000456877
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	protein_coding	ENSG00000146426	ENST00000528391
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	nonsense_mediated_decay	ENSG00000146426	ENST00000543712
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	processed_transcript	ENSG00000146426	ENST00000539296
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	protein_coding	ENSG00000146426	ENST00000275246
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	retained_intron	ENSG00000146426	ENST00000546145
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	protein_coding	ENSG00000146426	ENST00000462408
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	retained_intron	ENSG00000146426	ENST00000537845
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	protein_coding	ENSG00000146426	ENST00000456144
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	protein_coding	ENSG00000146426	ENST00000318981
6	155153831	155578857	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	protein_coding	ENSG00000146426	ENST00000367174
15	95819690	95870358	CTD-2536I1.1		lincRNA	ENSG00000248441	ENST00000555332
15	95819690	95870358	CTD-2536I1.1		lincRNA	ENSG00000248441	ENST00000508732
15	95819690	95870358	CTD-2536I1.1		lincRNA	ENSG00000248441	ENST00000556899
2	38302791	38408997	CYP1B1-AS1	CYP1B1 antisense RNA 1 [Source:HGNC Symbol;Acc:28543]	antisense	ENSG00000232973	ENST00000431999
2	38302791	38408997	CYP1B1-AS1	CYP1B1 antisense RNA 1 [Source:HGNC Symbol;Acc:28543]	antisense	ENSG00000232973	ENST00000589303
2	38302791	38408997	CYP1B1-AS1	CYP1B1 antisense RNA 1 [Source:HGNC Symbol;Acc:28543]	antisense	ENSG00000232973	ENST00000427168
