Supplementary Table 3C: Genes annotation of hypoacetylated H3K27ac ChIPseq regions between PLN and control group using a 5kb TSS window.									
Peak ID*	Chromosome	Peak start†	Peak end†	Gene name	RefSeq transcript ID	Distance to TSS	Distance to TES		
27389	chr15	71476280	71481579	THSD4-AS1	NR_120350	2468	-19779		
27389	chr15	71476280	71481579	THSD4-AS1	NR_120348	2468	-19779		
79	chr1	2513830	2518479	FAM213B	NR_036638	-1744	-6753		
79	chr1	2513830	2518479	FAM213B	NR_036637	-1744	-6753		
79	chr1	2513830	2518479	FAM213B	NM_001195738	-2034	-6753		
79	chr1	2513830	2518479	FAM213B	NM_001195741	-2034	-6753		
79	chr1	2513830	2518479	FAM213B	NM_001195740	-2034	-6753		
79	chr1	2513830	2518479	FAM213B	NM_001195737	-2034	-6753		
79	chr1	2513830	2518479	FAM213B	NM_001195736	-2034	-6753		
79	chr1	2513830	2518479	FAM213B	NM_152371	-2034	-6753		
17397	chr8	145732030	145734849	GPT	NM_005309	3975	885		
17397	chr8	145732030	145734849	MFSD3	NM_138431	-979	-3171		
17397	chr8	145732030	145734849	MFSD3	NR_130120	-979	-3171		
21460	chr11	45682650	45685499	CHST1	NM_003654	3131	-14836		
35032	chr22	18889580	18893529	DGCR6	NM_005675	-2181	-8046		
16974	chr8	107780580	107784049	ABRA	NM_139166	157	-10604		
20884	chr11	1859750	1865449	TNNI2	NM_003282	2367	-310		
20884	chr11	1859750	1865449	TNNI2	NM_001145829	1881	-310		
20884	chr11	1859750	1865449	TNNI2	NM_001145841	1168	-310		
21744	chr11	64120350	64128099	RPS6KA4	NM_001300802	-2400	-15462		
21744	chr11	64120350	64128099	RPS6KA4	NM_001006944	-2400	-15462		
21744	chr11	64120350	64128099	RPS6KA4	NM_003942	-2400	-15462		
3213	chr1	214448850	214457949	SMYD2	NM_020197	-1165	-57077		
15076	chr7	75615600	75625479	TMEM120A	NM_031925	3452	-4385		
29528	chr17	4456380	4460729	MYBBP1A	NM_001105538	126	-16364		
29528	chr17	4456380	4460729	MYBBP1A	NM_014520	126	-16364		
2238	chr1	151803080	151806949	RORC	NM_005060	-667	-26468		
12049	chr5	175105900	175116349	HRH2	NM_022304	2661	-433		
35911	chr22	50746300	50752549	PLXNB2	NM_012401	-3424	-36017		
15989	chr8	9011450	9014329	PPP1R3B	NM_024607	-4670	-19126		
15989	chr8	9011450	9014329	PPP1R3B	NM_001201329	-3738	-19126		
23711	chr12	58119150	58121199	AGAP2-AS1	NR_027032	152	-1964		
21763	chr11	64755730	64758599	BATF2	NM_001300808	584	-1748		
21763	chr11	64755730	64758599	BATF2	NM_001300807	584	-1748		
15938	chr8	1770700	1774149	ARHGEF10	NM_001308153	283	-134382		
15938	chr8	1770700	1774149	ARHGEF10	NM_014629	283	-134382		
15938	chr8	1770700	1774149	ARHGEF10	NM_001308152	283	-134382		
30718	chr17	62074250	62078049	PRR29-AS1	NR_126169	1109	-2719		
30718	chr17	62074250	62078049	PRR29	NM_001191031	439	-5494		
30718	chr17	62074250	62078049	PRR29	NM_001191030	439	-5494		
30718	chr17	62074250	62078049	PRR29	NM_001164257	439	-5494		
30718	chr17	62074250	62078049	PRR29	NM_001191029	439	-5494		
30311	chr17	42277350	42279399	ATXN7L3	NM_001098833	-2846	-9202		
30311	chr17	42277350	42279399	ATXN7L3	NM_020218	-2846	-9202		
25596	chr14	25514800	25521199	STXBP6	NM_001304477	206	-239139		
25596	chr14	25514800	25521199	STXBP6	NM_014178	1095	-239139		
25596	chr14	25514800	25521199	STXBP6	NM_001304476	1503	-239139		
35742	chr22	42980000	42982049	RRP7BP	NR_002184	-3008	-11759		
14299	chr7	1087930	1097449	GPR146	NM_001303474	-2221	-6215		
14299	chr7	1087930	1097449	GPR146	NM_138445	-2221	-6215		
28560	chr16	30549450	30552249	ZNF747	NM_001305019	-4559	-9162		
28560	chr16	30549450	30552249	ZNF747	NM_001305018	-4559	-9162		
28560	chr16	30549450	30552249	ZNF747	NM_001305020	-4559	-9162		
28560	chr16	30549450	30552249	ZNF747	NM_023931	-4559	-9162		
21769	chr11	64862300	64865579	VPS51	NM_013265	353	-15392		
21769	chr11	64862300	64865579	VPS51	NR_073519	353	-15392		
18850	chr9	137292200	137306529	RXRA	NM_001291921	937	-33067		
18958	chr9	140114550	140116549	RNF208	NM_031297	225	-851		
18958	chr9	140114550	140116549	CYSRT1	NM_199001	-3537	-5213		
7250	chr3	50332550	50342399	HYAL3	NM_001200029	-1182	-7216		
7250	chr3	50332550	50342399	HYAL3	NM_001200030	-576	-7216		
7250	chr3	50332550	50342399	HYAL3	NM_003549	-576	-7216		
7250	chr3	50332550	50342399	HYAL3	NM_001200031	-576	-7216		
7250	chr3	50332550	50342399	HYAL3	NM_001200032	-576	-7216		
7250	chr3	50332550	50342399	NAT6	NM_001200018	-1155	-3642		
7250	chr3	50332550	50342399	NAT6	NM_001200016	-623	-3642		
7250	chr3	50332550	50342399	NAT6	NM_012191	-623	-3642		
7250	chr3	50332550	50342399	HYAL1	NM_153285	3557	-155		
7250	chr3	50332550	50342399	HYAL1	NM_153283	3557	-155		
7250	chr3	50332550	50342399	HYAL1	NM_153282	3557	-155		
7250	chr3	50332550	50342399	HYAL1	NM_033159	3557	-155		
7250	chr3	50332550	50342399	HYAL1	NR_047690	3557	-155		
25972	chr14	67979550	67982249	TMEM229B	NM_182526	1121	-43917		
29154	chr16	84175700	84179199	HSDL1	NM_031463	1350	-21706		
29154	chr16	84175700	84179199	HSDL1	NM_001146051	1350	-21706		
29154	chr16	84175700	84179199	DNAAF1	NM_178452	-1415	-34074		
11264	chr5	133770180	133776179	LOC102546229	NR_105044	-2442	-8438		
35293	chr22	29277680	29279749	ZNRF3	NM_001206998	-1040	-174761		
32212	chr19	4517900	4520749	PLIN4	NM_001080400	-1609	-17133		
7180	chr3	48933350	48937749	SLC25A20	NM_000387	876	-41194		
20862	chr11	842750	847999	POLR2L	NM_021128	-2846	-5654		
20862	chr11	842750	847999	TSPAN4	NM_001025238	2551	-21741		
20862	chr11	842750	847999	TSPAN4	NM_003271	2551	-21741		
20862	chr11	842750	847999	TSPAN4	NM_001025239	2551	-21741		
20862	chr11	842750	847999	TSPAN4	NM_001025236	2434	-21741		
20862	chr11	842750	847999	TSPAN4	NM_001025235	2434	-21741		
20862	chr11	842750	847999	TSPAN4	NM_001025234	1294	-21741		
20862	chr11	842750	847999	TSPAN4	NM_001025237	929	-21741		
17334	chr8	144294750	144296949	GPIHBP1	NM_178172	782	-3194		
17334	chr8	144294750	144296949	GPIHBP1	NM_001301772	782	-3194		
28081	chr16	1875050	1878249	HAGH	NM_001040427	545	-17546		
28081	chr16	1875050	1878249	HAGH	NM_005326	545	-17546		
28081	chr16	1875050	1878249	HAGH	NM_001286249	545	-17546		
28081	chr16	1875050	1878249	FAHD1	NM_031208	-575	-2258		
28081	chr16	1875050	1878249	FAHD1	NM_001018104	-575	-13553		
28081	chr16	1875050	1878249	FAHD1	NM_001142398	-575	-13553		
29850	chr17	19279500	19282399	B9D1	NM_001243475	545	-40083		
29850	chr17	19279500	19282399	MAPK7	NM_139033	-84	-5907		
29850	chr17	19279500	19282399	MAPK7	NM_139032	-84	-5907		
29850	chr17	19279500	19282399	MAPK7	NM_002749	-824	-5907		
29850	chr17	19279500	19282399	MAPK7	NM_139034	-824	-5907		
848	chr1	32033050	32056249	TINAGL1	NM_001204414	2564	-8637		
848	chr1	32033050	32056249	TINAGL1	NM_022164	2564	-8637		
848	chr1	32033050	32056249	TINAGL1	NM_001204415	904	-8637		
401	chr1	16064180	16066199	SLC25A34	NM_207348	2381	-2697		
401	chr1	16064180	16066199	TMEM82	NM_001013641	-3797	-9102		
18707	chr9	133319850	133323549	ASS1	NM_000050	1606	-54961		
18707	chr9	133319850	133323549	ASS1	NM_054012	1606	-54961		
25	chr1	1279200	1283179	DVL1	NM_004421	3302	-10532		
28759	chr16	56994150	56997349	CETP	NM_000078	-85	-22006		
28759	chr16	56994150	56997349	CETP	NM_001286085	-85	-22006		
17094	chr8	125461880	125464499	TRMT12	NM_017956	142	-2076		
19224	chr10	14115300	14117799	LOC101928453	NR_120638	267	-13328		
600	chr1	23804600	23812099	ASAP3	NM_017707	2400	-53294		
600	chr1	23804600	23812099	ASAP3	NM_001143778	2400	-53294		
32931	chr19	39108050	39111379	MAP4K1	NM_001042600	-1040	-31435		
32931	chr19	39108050	39111379	MAP4K1	NM_007181	-1040	-31435		
32931	chr19	39108050	39111379	EIF3K	NM_001308393	3	-17884		
32931	chr19	39108050	39111379	EIF3K	NM_013234	1	-17884		
32931	chr19	39108050	39111379	EIF3K	NM_001300992	1	-17884		
35050	chr22	19554700	19558529	LINC00895	NR_024381	-2253	-2962		
20109	chr10	88712330	88722199	MMRN2	NM_024756	160	-21967		
20109	chr10	88712330	88722199	SNCG	NM_003087	-1023	-5752		
18890	chr9	139247580	139249749	GPSM1	NM_001145639	1156	-5392		
18890	chr9	139247580	139249749	GPSM1	NM_001200003	-587	-5392		
31193	chr17	79820600	79822599	P4HB	NM_000918	-3056	-20566		
26628	chr14	105195830	105204779	ADSSL1	NM_199165	4077	-13342		
29636	chr17	8128700	8131129	LINC00324	NR_026951	-2554	-5967		
7192	chr3	49140100	49143649	QARS	NM_001272073	687	-8510		
7192	chr3	49140100	49143649	QARS	NM_005051	687	-8510		
7192	chr3	49140100	49143649	QARS	NR_073590	687	-8510		
7192	chr3	49140100	49143649	MIR6890	NR_106950	-4528	-4588		
32374	chr19	10539800	10545299	PDE4A	NM_001111308	1029	-37757		
32374	chr19	10539800	10545299	PDE4A	NM_001111309	-561	-37757		
35165	chr22	24572450	24574579	SUSD2	NM_019601	-3929	-11559		
20329	chr10	100173400	100176299	PYROXD2	NM_032709	128	-31528		
18637	chr9	131464700	131469279	PKN3	NM_013355	2188	-16209		
12659	chr6	29621000	29627249	MOG	NM_001170418	-633	-16024		
12659	chr6	29621000	29627249	MOG	NM_001008228	-633	-16024		
12659	chr6	29621000	29627249	MOG	NM_206809	-633	-16024		
12659	chr6	29621000	29627249	MOG	NM_206812	-633	-16024		
12659	chr6	29621000	29627249	MOG	NM_206814	-633	-16024		
12659	chr6	29621000	29627249	MOG	NM_206811	-633	-16024		
12659	chr6	29621000	29627249	MOG	NM_001008229	-633	-16024		
12659	chr6	29621000	29627249	MOG	NM_002433	-633	-16024		
12659	chr6	29621000	29627249	MOG	NM_206810	-633	-16024		
20915	chr11	2478500	2486549	KCNQ1	NM_181798	-159	-387815		
12800	chr6	33243600	33248429	B3GALT4	NM_003782	1098	-587		
28132	chr16	3191730	3196149	CASP16P	NR_132322	-352	-6007		
33285	chr19	49246330	49251199	RASIP1	NM_017805	-4795	-24923		
33285	chr19	49246330	49251199	IZUMO1	NM_182575	1401	-4620		
2313	chr1	154925950	154931229	PBXIP1	NM_020524	-23	-12031		
7106	chr3	46741050	46744679	TMIE	NM_147196	42	-9548		
34475	chr20	60691250	60697399	LSM14B	NM_144703	-3192	-16109		
32177	chr19	3930650	3932849	NMRK2	NM_170678	-1351	-10664		
32177	chr19	3930650	3932849	NMRK2	NM_001289117	-1351	-10664		
32177	chr19	3930650	3932849	NMRK2	NR_110316	-1351	-10664		
27	chr1	1307630	1312749	AURKAIP1	NM_001127229	390	-1080		
27	chr1	1307630	1312749	AURKAIP1	NM_017900	628	-1080		
27	chr1	1307630	1312749	AURKAIP1	NM_001127230	372	-1079		
18343	chr9	116324450	116338849	RGS3	NM_134427	4416	-28373		
32125	chr19	2721400	2725129	DIRAS1	NM_145173	-1875	-8700		
31212	chr17	80056450	80060499	FASN	NM_004104	-2369	-22261		
30405	chr17	45769930	45775129	TBKBP1	NM_014726	-100	-16899		
15214	chr7	95223880	95231629	PDK4	NM_002612	-1830	-14946		
26323	chr14	90917300	90922299	LINC00642	NR_033986	-1774	-5449		
22097	chr11	74870080	74873249	SLCO2B1	NM_001145211	821	-45780		
329	chr1	12037930	12047429	MFN2	NM_001127660	2442	-30892		
329	chr1	12037930	12047429	MFN2	NM_014874	2442	-30892		
21879	chr11	67156500	67160899	RAD9A	NM_004584	-723	-7183		
21879	chr11	67156500	67160899	RAD9A	NM_001243224	-2076	-7183		
2165	chr1	148927800	148930399	LOC645166	NR_027356	787	-22495		
2165	chr1	148927800	148930399	LOC645166	NR_027355	787	-22495		
2165	chr1	148927800	148930399	LOC645166	NR_027354	-1305	-23954		
21740	chr11	64070830	64074629	TEX40	NM_001039496	4867	491		
21740	chr11	64070830	64074629	ESRRA	NM_004451	-270	-11482		
21740	chr11	64070830	64074629	ESRRA	NM_001282451	-270	-11482		
21740	chr11	64070830	64074629	ESRRA	NM_001282450	-969	-11482		
7196	chr3	49201400	49205299	CCDC71	NM_022903	435	-3382		
31216	chr17	80185000	80189079	SLC16A3	NM_001206950	758	-10335		
31216	chr17	80185000	80189079	SLC16A3	NM_001042422	758	-10335		
31216	chr17	80185000	80189079	SLC16A3	NM_004207	153	-10335		
31216	chr17	80185000	80189079	SLC16A3	NM_001042423	-3068	-10335		
10792	chr5	68512880	68516199	MRPS36	NM_033281	967	-11445		
18583	chr9	130538250	130540529	SH2D3C	NM_170600	1658	-38794		
26564	chr14	103586900	103589979	TNFAIP2	NM_006291	-4224	-15336		
30134	chr17	37819630	37837829	PNMT	NR_073461	4496	2002		
30134	chr17	37819630	37837829	PNMT	NM_002686	4024	2002		
31057	chr17	76122080	76127979	TMC6	NM_001127198	-169	-16031		
31057	chr17	76122080	76127979	TMC6	NM_007267	3458	-16031		
31057	chr17	76122080	76127979	TMC8	NM_152468	-1829	-14019		
33056	chr19	42923050	42928179	LIPE-AS1	NR_073179	-2292	-230892		
4042	chr2	27577800	27581299	GTF3C2	NM_001035521	351	-30834		
4042	chr2	27577800	27581299	GTF3C2	NM_001521	351	-30834		
20839	chr11	450730	452949	PTDSS2	NM_030783	1560	-39547		
17373	chr8	145055750	145062349	PARP10	NM_032789	1585	-7730		
7892	chr3	122687430	122699229	SEMA5B	NM_001256347	1651	-65290		
