Peak ID	Chromosome	Peak start†	Peak end†	Gene name	RefSeq transcript ID	Distance to TSS	Distance to TES
7741	chr3	105087030	105089199	ALCAM	NM_001627	2558	-207642
7741	chr3	105087030	105089199	ALCAM	NM_001243280	2558	-207642
2159	chr1	147717500	147719579	LOC101927468	NR_120331	802	-38170
6139	chr2	223914350	223923129	KCNE4	NM_080671	2092	-1617
34582	chr21	18982300	18985429	BTG3	NM_001130914	1403	-17897
34582	chr21	18982300	18985429	BTG3	NM_006806	1403	-17897
18004	chr9	95362630	95364749	CENPP	NM_001286971	1151	-13747
26700	chr15	26093750	26097029	MIR4715	NR_039865	-1418	-1496
13016	chr6	41470400	41475199	LINC01276	NR_120347	2618	-14790
15696	chr7	137675900	137688499	CREB3L2	NM_194071	4647	-122475
15696	chr7	137675900	137688499	CREB3L2	NM_001253775	4647	-84643
6077	chr2	219695200	219697229	PRKAG3	NM_017431	297	-9109
2582	chr1	168695080	168697729	DPT	NM_001937	2037	-31710
5131	chr2	106011650	106017129	FHL2	NM_001039492	1185	-37107
5131	chr2	106011650	106017129	FHL2	NM_201555	1291	-37107
5131	chr2	106011650	106017129	FHL2	NM_001450	1291	-37107
31928	chr18	67066750	67069899	DOK6	NM_152721	41	-447997
13702	chr6	132450580	132455679	LINC01013	NR_038981	-1988	-37384
3596	chr1	236045530	236047629	LYST	NM_001301365	428	-222249
3596	chr1	236045530	236047629	LYST	NR_102436	428	-56957
22636	chr11	123063850	123067399	CLMP	NM_024769	382	-122592
21350	chr11	34376480	34378599	ABTB2	NM_145804	2015	-205006
28725	chr16	55511550	55515729	MMP2	NM_001302508	898	-26963
28725	chr16	55511550	55515729	MMP2	NM_004530	559	-26963
28725	chr16	55511550	55515729	MMP2	NM_001302510	-270	-26963
28725	chr16	55511550	55515729	MMP2	NM_001302509	-805	-26963
28725	chr16	55511550	55515729	MMP2	NM_001127891	-1829	-26963
3494	chr1	230998100	231006049	C1orf198	NM_032800	2227	-29210
3494	chr1	230998100	231006049	C1orf198	NM_001136494	3260	-29210
2142	chr1	146555500	146557499	RNVU1-8	NR_121645	-197	-337
13310	chr6	75911500	75917579	COL12A1	NM_004370	1083	-120498
13310	chr6	75911500	75917579	COL12A1	NM_080645	1083	-120498
12629	chr6	27861130	27864299	HIST1H3J	NM_003535	-4145	-4622
12629	chr6	27861130	27864299	HIST1H2AM	NM_003514	-1752	-2238
12629	chr6	27861130	27864299	HIST1H2BO	NM_003527	1512	1046
25597	chr14	27065800	27068999	NOVA1	NM_002515	-440	-152311
25597	chr14	27065800	27068999	NOVA1	NM_006489	-440	-152311
25597	chr14	27065800	27068999	NOVA1	NM_006491	-440	-128076
22266	chr11	89223200	89225999	NOX4	NM_001291929	-691	-167078
22266	chr11	89223200	89225999	NOX4	NM_001291927	-454	-167078
22266	chr11	89223200	89225999	NOX4	NM_001291926	133	-167078
22266	chr11	89223200	89225999	NOX4	NM_001143836	133	-167078
22266	chr11	89223200	89225999	NOX4	NM_016931	133	-167078
22266	chr11	89223200	89225999	NOX4	NM_001300995	787	-167078
22266	chr11	89223200	89225999	NOX4	NR_120406	133	-2579
5968	chr2	210442980	210444999	MAP2	NM_002374	-413	-154844
5968	chr2	210442980	210444999	MAP2	NM_031847	-413	-154844
5968	chr2	210442980	210444999	MAP2	NM_031845	-413	-154844
19393	chr10	30021930	30027449	SVIL	NM_003174	40	-278413
33019	chr19	41813200	41817729	CCDC97	NM_052848	-629	-15323
9309	chr4	54968530	54970579	GSX2	NM_133267	3307	1433
31984	chr18	74839080	74844599	MBP	NM_001025101	2934	-151051
31984	chr18	74839080	74844599	MBP	NM_001025100	2934	-117101
13577	chr6	116690650	116693799	DSE	NM_013352	115	-67217
9201	chr4	38858700	38860799	TLR6	NM_006068	-1312	-34421
21283	chr11	27013400	27018629	FIBIN	NM_203371	387	-2617
3246	chr1	218517250	218523249	TGFB2-AS1	NR_046268	-1230	-2712
3246	chr1	218517250	218523249	TGFB2	NM_003238	1574	-97711
3246	chr1	218517250	218523249	TGFB2	NM_001135599	1574	-97711
33729	chr20	10632530	10637199	MIR6870	NR_106930	-4522	-4581
20474	chr10	106111880	106114349	CFAP58-AS1	NR_108036	218	-2056
20474	chr10	106111880	106114349	CFAP58	NM_001008723	-407	-101733
20235	chr10	95750980	95752979	PLCE1	NM_016341	-1766	-336168
20235	chr10	95750980	95752979	PLCE1	NM_001288989	-1766	-336168
34393	chr20	52195200	52200749	ZNF217	NM_006526	1661	-14365
29229	chr16	86607800	86609849	FOXL1	NM_005250	-3290	-6479
7797	chr3	112358550	112361749	CCDC80	NM_199512	-160	-36917
7797	chr3	112358550	112361749	CCDC80	NM_199511	-160	-36917
15108	chr7	79080450	79085449	MAGI2-AS3	NR_038346	677	-17574
15108	chr7	79080450	79085449	MAGI2-AS3	NR_038345	677	-17574
15108	chr7	79080450	79085449	MAGI2-AS3	NR_038343	-326	-13833
15108	chr7	79080450	79085449	MAGI2-AS3	NR_038344	-326	-17574
3910	chr2	19562050	19564099	OSR1	NM_145260	-4703	-11829
30741	chr17	62656680	62659999	SMURF2	NM_022739	46	-117605
24158	chr12	109535600	109537749	UNG	NM_080911	1276	-12123
24158	chr12	109535600	109537749	UNG	NM_003362	752	-12123
10583	chr5	43063630	43068879	LOC648987	NR_104651	1286	-51424
10583	chr5	43063630	43068879	LOC100132356	NR_034127	818	-966
10583	chr5	43063630	43068879	LOC100506639	NR_102752	-870	-27405
2536	chr1	165795450	165799879	UCK2	NM_012474	933	-83190
6624	chr3	14442430	14448579	SLC6A6	NM_001134368	1429	-44188
6624	chr3	14442430	14448579	SLC6A6	NM_001134367	1429	-85352
6624	chr3	14442430	14448579	SLC6A6	NM_003043	1429	-85352
6624	chr3	14442430	14448579	SLC6A6	NR_103507	1429	-85352
25883	chr14	61190150	61192249	SIX4	NM_017420	-348	-14944
27823	chr15	92393230	92401849	SLCO3A1	NM_013272	602	-311597
27823	chr15	92393230	92401849	SLCO3A1	NM_001145044	602	-318125
34637	chr21	30515880	30519229	MAP3K7CL	NM_001286624	-325	-30655
12626	chr6	27803550	27808499	HIST1H2AK	NM_003510	92	-367
12626	chr6	27803550	27808499	HIST1H2BN	NM_003520	-415	-863
22277	chr11	93860300	93871049	PANX1	NM_015368	3581	-49462
22554	chr11	118757180	118762149	CXCR5	NM_032966	-4436	-7315
16448	chr8	38641650	38646629	TACC1	NM_001122824	-582	-66406
16448	chr8	38641650	38646629	TACC1	NM_006283	-582	-66406
12589	chr6	26271350	26275549	HIST1H3G	NM_003534	-1838	-2304
12589	chr6	26271350	26275549	HIST1H2BI	NM_003525	246	-190
17619	chr9	27527050	27529899	MOB3B	NM_024761	1375	-203268
17619	chr9	27527050	27529899	IFNK	NM_020124	4163	1979
31371	chr18	9706200	9710449	RAB31	NM_006868	97	-154228
14895	chr7	50857150	50863399	GRB10	NM_001001555	884	-202515
7796	chr3	112354130	112357999	CCDC80	NM_199512	3925	-32832
7796	chr3	112354130	112357999	CCDC80	NM_199511	3925	-32832
28461	chr16	24680800	24683829	LINC01567	NR_122072	68	-9572
18400	chr9	123687300	123701149	TRAF1	NM_001190945	-2774	-29554
10222	chr4	186452830	186459649	PDLIM3	NM_001114107	472	-34425
10222	chr4	186452830	186459649	PDLIM3	NM_001257963	472	-34425
10222	chr4	186452830	186459649	PDLIM3	NM_001257962	472	-34425
10222	chr4	186452830	186459649	PDLIM3	NM_014476	472	-34425
10222	chr4	186452830	186459649	PDLIM3	NR_047562	472	-34425
35556	chr22	38243750	38246779	ANKRD54	NM_138797	-4912	-18403
35556	chr22	38243750	38246779	ANKRD54	NR_036556	-4912	-18403
35556	chr22	38243750	38246779	MIR658	NR_030395	-4887	-4986
35556	chr22	38243750	38246779	MIR659	NR_030396	-1484	-1580
35556	chr22	38243750	38246779	EIF3L	NM_001242923	-114	-39524
35556	chr22	38243750	38246779	EIF3L	NM_016091	-114	-39524
32703	chr19	18629100	18634699	ELL	NM_006532	1037	-78427
3850	chr2	11533280	11535399	LINC00570	NR_047499	233	-8863
23834	chr12	75872950	75876599	GLIPR1	NM_006851	262	-20941
13272	chr6	56818050	56820129	DST	NM_001144769	336	-496305
13272	chr6	56818050	56820129	BEND6	NM_152731	-683	-73052
22289	chr11	94499880	94504049	AMOTL1	NM_001301007	457	-107953
22289	chr11	94499880	94504049	AMOTL1	NM_130847	457	-107953
24293	chr12	116713380	116717199	MED13L	NM_015335	-299	-318909
8627	chr3	184432950	184435649	MAGEF1	NM_022149	-4464	-6145
12726	chr6	31461050	31466129	MICB	NM_001289160	932	-15311
12726	chr6	31461050	31466129	MICB	NM_005931	-2237	-15311
12726	chr6	31461050	31466129	MICB	NM_001289161	-2237	-15311
23938	chr12	93964430	93969879	SOCS2-AS1	NR_038263	-1981	-7751
23938	chr12	93964430	93969879	SOCS2	NM_003877	3557	-3366
23938	chr12	93964430	93969879	SOCS2	NM_001270467	2980	-3366
23938	chr12	93964430	93969879	SOCS2	NM_001270468	2398	-3366
23938	chr12	93964430	93969879	SOCS2	NM_001270469	1698	-3366
23938	chr12	93964430	93969879	SOCS2	NM_001270470	1698	-3366
23938	chr12	93964430	93969879	SOCS2	NM_001270471	853	-3366
11483	chr5	141695980	141708449	SPRY4	NM_001293290	1767	-12223
11483	chr5	141695980	141708449	SPRY4	NM_001293289	1767	-12223
11483	chr5	141695980	141708449	SPRY4	NM_001127496	2405	-12223
11483	chr5	141695980	141708449	SPRY4	NM_030964	2405	-12223
11483	chr5	141695980	141708449	SPRY4-IT1	NR_131221	-4328	-5016
11483	chr5	141695980	141708449	LOC101926941	NR_120664	-2643	-141404
24153	chr12	109213200	109254929	MIR619	NR_030350	-3283	-3381
18722	chr9	133714000	133716129	ABL1	NM_005157	4423	-47997
16593	chr8	57471880	57473979	LINC00968	NR_038236	-548	-42052
14949	chr7	63505180	63507199	ZNF727	NM_001159522	369	-32737
27982	chr15	101457850	101460099	LRRK1	NM_024652	-445	-151342
5739	chr2	187558150	187560249	FAM171B	NM_177454	411	-69312
22471	chr11	114161600	114169679	NNMT	NM_006169	-895	-17598
33189	chr19	47141050	47143379	GNG8	NM_033258	-4276	-4882
16701	chr8	74902130	74905999	LY96	NM_015364	501	-37242
16701	chr8	74902130	74905999	LY96	NM_001195797	501	-37242
33805	chr20	19866100	19872549	RIN2	NM_001242581	2160	-113778
33805	chr20	19866100	19872549	RIN2	NM_018993	-885	-113778
18721	chr9	133708430	133713699	ABL1	NM_005157	423	-51997
23775	chr12	66274550	66277749	LOC100129940	NM_001292024	-203	-31143
23775	chr12	66274550	66277749	LOC100129940	NM_001292023	-203	-26423
23775	chr12	66274550	66277749	LOC100129940	NR_120478	-792	-8558
14733	chr7	41738030	41742429	INHBA	NM_002192	2476	-11629
3168	chr1	211752550	211756379	SLC30A1	NM_021194	-2366	-6084
33267	chr19	48900500	48902499	GRIN2D	NM_000836	3368	-46688
8686	chr3	187008000	187012429	MASP1	NM_001879	-405	-76342
8686	chr3	187008000	187012429	MASP1	NM_139125	-405	-58345
8686	chr3	187008000	187012429	MASP1	NR_033519	-405	-58345
8686	chr3	187008000	187012429	MASP1	NM_001031849	-405	-46073
1019	chr1	39551200	39554149	MACF1	NM_012090	2836	-400135
23887	chr12	91501150	91506449	LUM	NM_002345	1742	-6568
33745	chr20	11870100	11873499	BTBD3	NM_181443	429	-35443
33745	chr20	11870100	11873499	BTBD3	NM_001282552	429	-35443
33745	chr20	11870100	11873499	BTBD3	NM_001282550	-1341	-35443
870	chr1	32572400	32575499	KPNA6	NM_012316	306	-68218
13964	chr6	151560030	151563649	AKAP12	NM_005100	706	-117854
33757	chr20	17537400	17540699	BFSP1	NM_001278606	555	-64500
33757	chr20	17537400	17540699	BFSP1	NM_001161705	555	-64500
33757	chr20	17537400	17540699	BFSP1	NM_001278607	555	-64500
31740	chr18	47806350	47808629	MBD1	NM_001204141	654	-14238
31740	chr18	47806350	47808629	MBD1	NM_001204139	654	-14238
31740	chr18	47806350	47808629	MBD1	NM_001204143	647	-12274
31740	chr18	47806350	47808629	MBD1	NM_001204136	654	-12274
31740	chr18	47806350	47808629	MBD1	NM_015845	654	-12274
31740	chr18	47806350	47808629	MBD1	NM_001204142	654	-12274
31740	chr18	47806350	47808629	MBD1	NM_002384	654	-12274
31740	chr18	47806350	47808629	MBD1	NM_015847	654	-12274
31740	chr18	47806350	47808629	MBD1	NM_015846	654	-12274
31740	chr18	47806350	47808629	MBD1	NM_015844	654	-12274
31740	chr18	47806350	47808629	MBD1	NM_001204138	654	-10078
31740	chr18	47806350	47808629	MBD1	NM_001204137	654	-10078
31740	chr18	47806350	47808629	MBD1	NM_001204140	654	-10078
31740	chr18	47806350	47808629	MBD1	NM_001204151	-1103	-9651
34394	chr20	52201150	52203849	ZNF217	NM_006526	-2864	-18890
33588	chr20	1873280	1881199	SIRPA	NM_001040022	2427	-43300
33588	chr20	1873280	1881199	SIRPA	NM_080792	1815	-43300
33588	chr20	1873280	1881199	SIRPA	NM_001040023	1414	-43300
23043	chr12	7167130	7169999	C1S	NM_201442	585	-9770
23043	chr12	7167130	7169999	C1S	NM_001734	585	-9770
4219	chr2	37570400	37572599	QPCT	NM_012413	-253	-28965
4310	chr2	42158700	42161799	LOC101929723	NR_110263	613	-1511
4310	chr2	42158700	42161799	LOC101929723	NR_110262	613	-1511
11807	chr5	156997500	156999629	ADAM19	NM_033274	4266	-94253
12612	chr6	27112480	27116399	HIST1H2BK	NM_080593	197	-8368
12612	chr6	27112480	27116399	HIST1H2AH	NM_080596	-421	-901
12612	chr6	27112480	27116399	MIR3143	NR_036096	-965	-1027
3206	chr1	214160280	214164029	PROX1-AS1	NR_037850	-2659	-169171
3206	chr1	214160280	214164029	PROX1	NM_001270616	877	-52692
3206	chr1	214160280	214164029	PROX1	NM_002763	311	-52692
23378	chr12	45608280	45612229	PLEKHA8P1	NR_037144	-466	-43438
23378	chr12	45608280	45612229	ANO6	NM_001204803	485	-215879
23378	chr12	45608280	45612229	ANO6	NM_001025356	485	-215879
23378	chr12	45608280	45612229	ANO6	NM_001142679	485	-223932
12634	chr6	28108700	28110749	ZSCAN16-AS1	NR_103455	-4631	-20152
12634	chr6	28108700	28110749	ZSCAN16-AS1	NR_103456	-4631	-20152
12634	chr6	28108700	28110749	ZKSCAN8	NM_006298	37	-17525
12634	chr6	28108700	28110749	ZKSCAN8	NM_001278119	37	-17525
12634	chr6	28108700	28110749	ZKSCAN8	NM_001278122	37	-17525
12634	chr6	28108700	28110749	ZKSCAN8	NM_001278121	-264	-17525
7650	chr3	87275130	87278149	MIR4795	NR_039958	-1213	-1301
7650	chr3	87275130	87278149	CHMP2B	NM_014043	227	-28058
7650	chr3	87275130	87278149	CHMP2B	NM_001244644	227	-28058
27730	chr15	89164200	89166449	AEN	NM_022767	798	-10187
29666	chr17	9936450	9940679	GAS7	NM_201432	1499	-124639
23242	chr12	26348100	26351849	SSPN	NM_001135823	1706	-37733
23242	chr12	26348100	26351849	SSPN	NM_005086	1469	-37733
23121	chr12	13348000	13354999	EMP1	NM_001423	1898	-18208
17027	chr8	121135930	121138849	COL14A1	NM_021110	43	-246883
19344	chr10	24752230	24755699	KIAA1217	NM_001282770	-1469	-80280
13359	chr6	86158280	86161829	NT5E	NM_001204813	753	-45454
13359	chr6	86158280	86161829	NT5E	NM_002526	753	-45454
11775	chr5	154319300	154322049	GEMIN5	NM_001252156	-2899	-53699
11775	chr5	154319300	154322049	GEMIN5	NM_015465	-2899	-53699
11775	chr5	154319300	154322049	MRPL22	NM_014180	42	-28296
11775	chr5	154319300	154322049	MRPL22	NM_001014990	42	-28296
9308	chr4	54928400	54934199	CHIC2	NM_012110	-485	-55342
10833	chr5	72920350	72923599	ARHGEF28	NM_001177693	-8	-315843
10833	chr5	72920350	72923599	ARHGEF28	NM_001080479	-8	-315843
19408	chr10	30345380	30348149	KIAA1462	NM_020848	1723	-45036
5965	chr2	210288300	210290499	MAP2	NM_001039538	629	-309434
12602	chr6	26535750	26540379	HMGN4	NM_006353	-507	-9099
20779	chr10	129844950	129847429	PTPRE	NM_130435	377	-37974
22330	chr11	96070200	96077249	MAML2	NM_032427	2619	-363968
22330	chr11	96070200	96077249	MIR1260B	NR_036125	-877	-965
14825	chr7	45959050	45961079	IGFBP3	NM_001013398	806	-8221
14825	chr7	45959050	45961079	IGFBP3	NM_000598	806	-8221
2011	chr1	114520880	114524579	OLFML3	NM_020190	717	-2146
2011	chr1	114520880	114524579	OLFML3	NM_001286352	717	-2146
2011	chr1	114520880	114524579	OLFML3	NM_001286353	717	-2146
26927	chr15	45668850	45670949	GATM	NM_001482	1080	-16578
28653	chr16	49858550	49863349	ZNF423	NM_015069	-4301	-336435
9960	chr4	152020180	152022349	RPS3A	NM_001267699	540	-4092
9960	chr4	152020180	152022349	RPS3A	NM_001006	540	-4539
9960	chr4	152020180	152022349	SNORD73A	NR_000007	-3714	-3778
17946	chr9	89762080	89765099	C9orf170	NM_001001709	31	-11051
18366	chr9	117372150	117375429	C9orf91	NM_153045	84	-34913
10951	chr5	82769000	82771779	VCAN	NM_004385	2897	-107732
10951	chr5	82769000	82771779	VCAN	NM_001164098	2897	-107732
10951	chr5	82769000	82771779	VCAN	NM_001164097	2897	-107732
10951	chr5	82769000	82771779	VCAN	NM_001126336	2897	-107732
29168	chr16	84853480	84859029	CRISPLD2	NM_031476	2668	-86861
14864	chr7	47661100	47663899	LINC01447	NR_108090	963	-6991
26282	chr14	85998450	86001799	FLRT2	NM_013231	3637	-94145
2523	chr1	165392880	165396499	RXRG	NM_001256571	-469	-24531
12351	chr6	12291000	12293599	EDN1	NM_001168319	1771	-5127
12351	chr6	12291000	12293599	EDN1	NM_001955	1771	-5127
7657	chr3	93691200	93693999	PROS1	NM_000313	334	-100719
2524	chr1	165412150	165415149	RXRG	NM_001256570	942	-43491
2524	chr1	165412150	165415149	RXRG	NM_006917	942	-43491
2524	chr1	165412150	165415149	RXRG	NR_033824	942	-7485
6301	chr2	238319130	238323499	COL6A3	NM_057166	1535	-88660
6301	chr2	238319130	238323499	COL6A3	NM_057167	1535	-88660
6301	chr2	238319130	238323499	COL6A3	NM_004369	1535	-88660
6301	chr2	238319130	238323499	COL6A3	NM_057165	1535	-41055
6301	chr2	238319130	238323499	COL6A3	NM_057164	1535	-41055
27304	chr15	68346550	68348779	PIAS1	NM_016166	1093	-132739
23473	chr12	50096950	50100929	FMNL3	NM_175736	2257	-67216
23473	chr12	50096950	50100929	FMNL3	NM_198900	2257	-67216
2137	chr1	145609600	145612399	POLR3C	NM_001303456	-332	-20333
2137	chr1	145609600	145612399	POLR3C	NM_006468	44	-20333
2137	chr1	145609600	145612399	RNF115	NM_014455	10	-78005
7624	chr3	73568900	73571349	LOC101927296	NR_121660	-348	-48800
29041	chr16	73176380	73178899	C16orf47	NM_207385	706	-17103
13692	chr6	130339150	130343049	L3MBTL3	NM_001007102	1372	-121494
13692	chr6	130339150	130343049	L3MBTL3	NM_032438	1372	-121494
18313	chr9	115109780	115112349	MIR3134	NR_036085	1480	-352233
14875	chr7	48124050	48131299	UPP1	NM_001287426	-525	-20655
14875	chr7	48124050	48131299	UPP1	NM_001287428	-525	-20655
14875	chr7	48124050	48131299	UPP1	NM_001287429	-1062	-20655
14875	chr7	48124050	48131299	UPP1	NM_003364	-1134	-20655
14875	chr7	48124050	48131299	UPP1	NM_001287430	-1176	-20655
14875	chr7	48124050	48131299	UPP1	NR_109837	-1176	-20655
14388	chr7	4918480	4920479	RADIL	NM_018059	3855	-80740
24693	chr13	24840180	24842779	SPATA13	NM_001286795	-3345	-39732
24693	chr13	24840180	24842779	SPATA13	NM_001286793	-3345	-39732
24693	chr13	24840180	24842779	SPATA13	NM_001286794	-3345	-39732
13716	chr6	134208730	134213179	TARID	NR_109982	-811	-387565
13716	chr6	134208730	134213179	TCF21	NM_198392	696	-5720
13716	chr6	134208730	134213179	TCF21	NM_003206	695	-2438
2112	chr1	145091450	145093499	SEC22B	NM_004892	-3932	-24522
5596	chr2	170679980	170682099	METTL5	NM_014168	401	-12773
5596	chr2	170679980	170682099	METTL5	NM_001293187	401	-12773
5596	chr2	170679980	170682099	METTL5	NM_001293186	401	-12773
5596	chr2	170679980	170682099	UBR3	NM_172070	-2978	-259599
5046	chr2	100720930	100723029	AFF3	NM_001025108	65	-558264
31792	chr18	53804730	53807649	LINC01539	NR_040025	-1423	-55603
31792	chr18	53804730	53807649	LINC01539	NR_040026	-1423	-55603
994	chr1	37936150	37946979	LINC01137	NR_038842	-1521	-21085
994	chr1	37936150	37946979	ZC3H12A	NM_025079	1446	-8413
994	chr1	37936150	37946979	MIR6732	NR_106790	-4266	-4325
3493	chr1	230993350	230996099	C1orf198	NM_001136495	-2943	-21860
20558	chr10	115437500	115441529	CASP7	NM_033340	594	-51153
20558	chr10	115437500	115441529	CASP7	NM_001267056	594	-51153
20558	chr10	115437500	115441529	CASP7	NM_001267057	87	-51153
20558	chr10	115437500	115441529	CASP7	NM_033338	87	-51153
20558	chr10	115437500	115441529	CASP7	NM_033339	87	-51153
20558	chr10	115437500	115441529	CASP7	NM_001227	87	-51153
22360	chr11	104033350	104036349	PDGFD	NM_025208	177	-256936
22360	chr11	104033350	104036349	PDGFD	NM_033135	177	-256936
5875	chr2	202121780	202124479	CASP8	NM_001080125	376	-29304
5875	chr2	202121780	202124479	CASP8	NR_111983	376	-29304
5875	chr2	202121780	202124479	CASP8	NM_033356	-2093	-29304
30408	chr17	45907450	45909549	MRPL10	NM_148887	407	-7862
30408	chr17	45907450	45909549	MRPL10	NM_145255	407	-7862
30408	chr17	45907450	45909549	MRPL10	NR_037575	407	-7862
30408	chr17	45907450	45909549	LRRC46	NM_033413	-493	-6579
1852	chr1	100233150	100235199	FRRS1	NM_001013660	-2826	-59916
4389	chr2	44000530	44002779	DYNC2LI1	NM_015522	477	-20661
4389	chr2	44000530	44002779	DYNC2LI1	NM_001193464	477	-35494
4389	chr2	44000530	44002779	DYNC2LI1	NM_016008	477	-35494
10543	chr5	39420680	39425729	DAB2	NM_001343	2130	-51429
10543	chr5	39420680	39425729	DAB2	NM_001244871	2130	-51429
20158	chr10	91172850	91176549	IFIT5	NM_012420	375	-6059
9520	chr4	88928730	88930749	PKD2	NM_000297	941	-69191
24943	chr13	43564880	43568299	EPSTI1	NM_001002264	-183	-106066
24943	chr13	43564880	43568299	EPSTI1	NM_033255	-183	-106066
17844	chr9	72870450	72876579	SMC5-AS1	NR_039990	275	-42540
17844	chr9	72870450	72876579	SMC5	NM_015110	-363	-96274
10074	chr4	166247200	166250149	MSMO1	NM_006745	-143	-15639
10074	chr4	166247200	166250149	MSMO1	NM_001017369	-143	-15639
1201	chr1	46267830	46271029	MAST2	NM_015112	145	-232366
7803	chr3	112885150	112887249	LOC101929717	NR_110823	378	-25003
34103	chr20	36886500	36889449	KIAA1755	NM_001029864	1199	-49068
34103	chr20	36886500	36889449	LOC149684	NR_104170	-602	-29373
12180	chr6	2845930	2848029	SERPINB1	NM_030666	-4697	-14414
12180	chr6	2845930	2848029	SERPINB1	NR_073112	-4697	-14414
12180	chr6	2845930	2848029	SERPINB1	NR_073111	-4697	-14414
30483	chr17	48281500	48284299	COL1A1	NM_000088	-3900	-21443
31738	chr18	47017100	47019279	C18orf32	NM_001199346	-4546	-10642
31738	chr18	47017100	47019279	C18orf32	NM_001035005	-4546	-10642
31738	chr18	47017100	47019279	RPL17-C18orf32	NM_001199355	-236	-10642
31738	chr18	47017100	47019279	RPL17-C18orf32	NM_001199356	745	-10642
31738	chr18	47017100	47019279	MIR1539	NR_031720	4447	4398
31738	chr18	47017100	47019279	RPL17	NM_001199344	644	-3339
31738	chr18	47017100	47019279	RPL17	NM_001199343	644	-3339
31738	chr18	47017100	47019279	RPL17	NM_001199342	644	-3339
31738	chr18	47017100	47019279	RPL17	NM_001199341	644	-3339
31738	chr18	47017100	47019279	RPL17	NM_001199345	745	-3339
31738	chr18	47017100	47019279	RPL17	NM_001199340	745	-3339
31738	chr18	47017100	47019279	RPL17	NM_000985	745	-3339
31738	chr18	47017100	47019279	RPL17	NM_001035006	745	-3339
