Chr	Start	End	Name
chr18	9706200	9710449	31371
chr7	50857150	50863399	14895
chr3	114128200	114132429	7816
chr3	112354130	112357999	7796
chr16	24680800	24683829	28461
chr9	85918450	85921199	17914
chr15	90379130	90381179	27757
chr9	123687300	123701149	18400
chr4	41156400	41159799	9221
chr4	186452830	186459649	10222
chr13	49140880	49148529	25040
chr5	81629380	81632299	10943
chr15	68206200	68212499	27295
chr9	119406180	119410179	18379
chr2	36681700	36686329	4197
chr2	122726600	122728629	5306
chr1	214532900	214537079	3223
chr5	136635700	136637779	11312
chr22	38243750	38246779	35556
chr19	18629100	18634699	32703
chr2	11533280	11535399	3850
chr12	75872950	75876599	23834
chr4	169685400	169692599	10097
chr15	74341380	74345499	27457
chr5	146933130	146935279	11589
chr18	43145600	43148699	31669
chr1	203342380	203344529	2985
chr6	56818050	56820129	13272
chr1	116222380	116224379	2039
chr1	95507150	95509899	1829
chr12	48689780	48691849	23435
chr1	25077650	25079829	648
chr20	10603200	10605249	33724
chr10	33499550	33503099	19478
chr1	41573430	41576479	1079
chr13	52337280	52340029	25109
chr11	94499880	94504049	22289
chr3	152047230	152051649	8336
chr14	35881380	35883499	25675
chr1	52112850	52114849	1267
chr12	11990450	11992529	23096
chr7	134374250	134378149	15636
chr15	90956850	90959149	27787
chr5	126181550	126184249	11173
chr3	69378100	69382249	7552
chr17	115880	119099	29341
chr1	229574400	229577199	3454
chr10	53164500	53166849	19663
chr12	116713380	116717199	24293
chr12	89765700	89769549	23880
chr15	101666080	101668799	27991
chr9	95354600	95356729	18002
chr13	24202680	24205449	24676
chr1	19758130	19786929	496
chr4	185665950	185669499	10200
chr1	95486180	95489199	1828
chr2	30643100	30646799	4120
chr18	20806630	20813079	31512
chr5	66942930	66946029	10760
chr2	102665400	102672679	5106
chr2	28880550	28890529	4086
chr2	69404130	69406199	4718
chr19	47745900	47748099	33226
chr11	19743780	19748449	21254
chr19	7177350	7185149	32288
chr5	151096950	151098949	11733
chr10	31101600	31111549	19424
chr10	5684380	5689599	19086
chr1	8569030	8571849	195
chr1	223286780	223289249	3303
chr3	184432950	184435649	8627
chr8	25863550	25865579	16272
chr6	3989900	3992099	12224
chr6	31461050	31466129	12726
chr12	93964430	93969879	23938
chr15	92570700	92574749	27847
chr9	114820730	114825399	18308
chr8	99176550	99181199	16875
chr5	141695980	141708449	11483
chr12	109213200	109254929	24153
chr9	133714000	133716129	18722
chr7	158859780	158864529	15915
chr11	12038480	12041549	21107
chr3	27673050	27675899	6787
chr4	124508650	124510749	9760
chr11	86183830	86190249	22233
chr10	17064950	17069749	19256
chr4	169771180	169773199	10103
chr8	57471880	57473979	16593
chr7	63505180	63507199	14949
chr15	67389900	67391899	27274
chr3	11137650	11139899	6515
chr6	1574800	1576829	12159
chr1	19751800	19757629	495
chr18	60827150	60830479	31907
chr22	41104280	41107879	35678
chr3	99218480	99220529	7677
chr15	101457850	101460099	27982
chr7	4732900	4735629	14375
chr4	83436400	83438429	9452
chr11	122450600	122453279	22630
chr10	104522100	104525099	20415
chr8	29386780	29388829	16351
chr20	36713680	36724879	34088
chr22	20903130	20913579	35093
chr2	187558150	187560249	5739
chr11	114161600	114169679	22471
chr5	147837100	147840049	11595
chr7	129557650	129559679	15558
chr15	101560730	101564299	27984
chr13	31472650	31475799	24758
chr1	68404300	68406299	1579
chr11	65893580	65896199	21835
chr19	47141050	47143379	33189
chr8	74902130	74905999	16701
chr17	53653800	53655799	30540
chr2	36933180	36935279	4208
chr6	56239150	56241299	13244
chr2	28560680	28567379	4067
chr20	19866100	19872549	33805
chr9	133708430	133713699	18721
chr12	66274550	66277749	23775
chr7	41738030	41742429	14733
chr1	211752550	211756379	3168
chr5	10723900	10727479	10361
chr5	58182680	58187099	10682
chr9	97679700	97685999	18063
chr10	30163550	30165699	19401
chr19	48900500	48902499	33267
chr21	33869380	33872579	34665
chr2	175691200	175693929	5661
chr11	121524900	121528329	22614
chr17	62701830	62703879	30742
chr3	187008000	187012429	8686
chr1	39551200	39554149	1019
chr2	21510630	21512649	3940
chr1	86015630	86019999	1674
chr12	91501150	91506449	23887
chr10	31983600	31992679	19450
chr9	691650	703899	17435
chr1	157970150	157985299	2408
chr3	14490780	14498149	6627
chr3	61888680	61891599	7449
chr10	14778350	14780549	19228
chr5	142521680	142523879	11548
chr17	4106600	4108679	29505
chr20	11870100	11873499	33745
chr13	52303650	52305699	25108
chr20	48363250	48365449	34299
chr11	34265250	34267479	21339
chr3	171869530	171873649	8503
chr1	32572400	32575499	870
chr5	54865600	54867779	10642
chr2	218570700	218572749	6030
chr10	4169350	4175299	19054
chr13	30687600	30689629	24741
chr17	70972800	70974849	30847
chr4	77543950	77546779	9412
chr6	151560030	151563649	13964
chr7	50751630	50754599	14891
chr2	7154350	7156679	3750
chr20	17537400	17540699	33757
chr15	60419130	60421329	27089
chr2	30787950	30790049	4127
chr11	133994250	133996649	22790
chr1	236214300	236216999	3604
chr18	47806350	47808629	31740
chr1	224024180	224026249	3317
chr10	93355900	93358729	20196
chr1	168862000	168864029	2583
chr5	64421600	64424279	10716
chr6	151387900	151393299	13961
chr7	25706030	25710179	14570
chr3	169308850	169311299	8450
chr20	39849700	39851699	34126
chr20	52201150	52203849	34394
chr5	151077730	151080499	11732
chr2	230269950	230274779	6180
chr6	2790100	2795629	12176
chr9	119126280	119128379	18374
chr14	76177200	76179399	26209
chr20	1873280	1881199	33588
chr12	7167130	7169999	23043
chr3	177314380	177316399	8546
chr18	55450400	55452649	31813
chr2	37570400	37572599	4219
chr18	3155030	3157149	31298
chr14	33170880	33173099	25635
chr6	11261450	11264999	12334
chr2	42158700	42161799	4310
chr5	172742430	172744449	12010
chr22	28180780	28182799	35266
chr13	81011250	81013249	25213
chr5	156997500	156999629	11807
chr6	27112480	27116399	12612
chr10	17714830	17716899	19265
chr5	156946700	156949929	11799
chr8	81608700	81612149	16730
chr9	119116930	119118949	18373
chr17	38458980	38460999	30160
chr3	15358150	15362929	6651
chr8	118741700	118743749	17000
chr5	101962430	101965599	11042
chr15	60660300	60669699	27091
chr1	214160280	214164029	3206
chr2	46555200	46568079	4447
chr6	152621200	152624449	13986
chr1	95384330	95386799	1817
chr11	122026730	122030999	22624
chr12	45608280	45612229	23378
chr20	19976480	19978649	33817
chr3	171023580	171025649	8471
chr6	28108700	28110749	12634
chr4	7827380	7834779	9018
chr2	23838500	23842579	3952
chr3	87275130	87278149	7650
chr15	89164200	89166449	27730
chr3	15310700	15312799	6646
chr15	101981700	101986999	28003
chr8	37394280	37399779	16404
chr7	134403180	134410099	15638
chr3	30669430	30672849	6827
chr8	81032800	81035649	16719
chr2	101502980	101505679	5062
chr11	35186230	35189579	21358
chr20	4905680	4908379	33657
chr17	9936450	9940679	29666
chr12	26348100	26351849	23242
chr13	41043080	41046629	24899
chr2	101539480	101542949	5065
chr16	85088550	85090679	29182
chr12	13348000	13354999	23121
chr3	184319500	184322649	8622
chr8	121135930	121138849	17027
chr6	3841400	3843399	12218
chr10	24752230	24755699	19344
chr13	30889700	30894899	24743
chr8	124599600	124604979	17073
chr21	45444300	45446899	34886
chr20	30482500	30484599	33924
chr6	86158280	86161829	13359
chr3	15364100	15369299	6652
chr2	33438450	33442829	4169
chr5	154319300	154322049	11775
chr17	41593650	41596199	30270
chr4	54928400	54934199	9308
chr5	72920350	72923599	10833
chr7	134590430	134592599	15657
chr8	142274200	142276429	17307
chr10	30345380	30348149	19408
chr1	109187900	109189979	1885
chr2	210288300	210290499	5965
chr12	13324800	13326879	23119
chr1	65660250	65662999	1528
chr7	130623550	130627449	15578
chr10	4394350	4397929	19066
chr6	26535750	26540379	12602
chr14	68976600	68978699	25996
chr20	52276080	52278449	34400
chr10	129844950	129847429	20779
chr11	96070200	96077249	22330
chr7	45959050	45961079	14825
chr8	81631250	81633399	16732
chr1	114520880	114524579	2011
chr1	19802850	19805249	500
chr15	45668850	45670949	26927
chr7	6299250	6301929	14425
chr16	49858550	49863349	28653
chr4	152020180	152022349	9960
chr11	3965000	3970199	20961
chr3	185373900	185375949	8642
chr14	23014730	23016879	25510
chr22	27975850	27980149	35252
chr1	230304800	230306979	3475
chr10	11311280	11313299	19169
chr9	89762080	89765099	17946
chr9	117372150	117375429	18366
chr10	46950730	46953199	19604
chr22	27636680	27639449	35245
chr6	108929500	108931499	13473
chr12	95729250	95731249	23991
chr6	129810680	129813829	13684
chr6	112124430	112127429	13540
chr6	4646700	4649179	12239
chr4	156415650	156418399	10020
chr6	108943000	108944999	13475
chr4	124475900	124477999	9759
chr16	86715130	86717729	29233
chr7	157111400	157113999	15885
chr10	104548200	104563829	20418
chr13	42037030	42039099	24924
chr1	183202430	183205599	2756
chr5	82769000	82771779	10951
chr9	107967380	107969479	18196
chr5	71267480	71270329	10803
chr16	84853480	84859029	29168
chr3	183002180	183005249	8592
chr10	4115550	4118149	19051
chr14	69430600	69439079	26040
chr10	49841980	49843979	19613
chr5	66582750	66586879	10755
chr2	9329930	9334999	3780
chr7	47661100	47663899	14864
chr8	119086000	119088079	17007
chr12	12549800	12553779	23102
chr14	85998450	86001799	26282
chr4	169765100	169767149	10101
chr1	61802280	61807029	1451
chr1	165392880	165396499	2523
chr11	116063680	116065799	22489
chr6	30714550	30722099	12690
chr1	218652350	218654429	3256
chr6	12291000	12293599	12351
chr1	59986250	59988299	1413
chr3	93691200	93693999	7657
chr11	12432180	12434549	21140
chr1	165412150	165415149	2524
chr8	42387050	42390929	16524
chr6	137057430	137062029	13755
chr2	238319130	238323499	6301
chr15	68346550	68348779	27304
chr12	50096950	50100929	23473
chr4	25103830	25105879	9147
chr16	56880330	56882349	28754
chr4	141012850	141020879	9852
chr16	12253050	12256779	28303
chr5	36689100	36693599	10511
chr1	145609600	145612399	2137
chr17	59390150	59392729	30671
chr3	73568900	73571349	7624
chr16	73176380	73178899	29041
chr5	40913950	40916279	10554
chr6	130339150	130343049	13692
chr20	23602630	23605099	33860
chr9	115109780	115112349	18313
chr3	29749230	29754099	6806
chr12	109594580	109601529	24166
chr11	86449380	86455349	22250
chr7	48124050	48131299	14875
chr7	4918480	4920479	14388
chr3	64652880	64655449	7479
chr9	71990400	71992399	17832
chr1	85905700	85907729	1667
chr13	24840180	24842779	24693
chr10	50287730	50291229	19622
chr9	123678450	123685599	18399
chr12	11871430	11873449	23084
chr7	64001150	64003149	14952
chr7	134476600	134478649	15645
chr6	134208730	134213179	13716
chr8	23223280	23225349	16250
chr1	145091450	145093499	2112
chr2	170679980	170682099	5596
chr19	38699800	38701929	32922
chr3	99362600	99369229	7680
chr6	31152500	31156799	12715
chr12	3792680	3796099	22959
chr2	100720930	100723029	5046
chr18	53804730	53807649	31792
chr1	61455000	61457599	1431
chr3	185927150	185929229	8648
chr3	171771450	171775799	8498
chr6	136256980	136259099	13734
chr1	37936150	37946979	994
chr12	3813200	3815949	22960
chr1	230993350	230996099	3493
chr10	115437500	115441529	20558
chr9	123833630	123838699	18402
chr2	109277000	109279479	5176
chr11	104033350	104036349	22360
chr15	74230930	74232929	27448
chr7	33852700	33855399	14675
chr6	13354230	13356329	12367
chr6	27144430	27146979	12613
chr8	17510430	17512729	16086
chr2	202121780	202124479	5875
chr10	104572700	104578629	20419
chr10	94043350	94045379	20213
chr10	124257230	124259549	20706
chr15	101726250	101734329	27993
chr20	30285700	30290949	33914
chr11	117087250	117093349	22504
chr3	8593030	8599899	6464
chr22	27694380	27696399	35247
chr16	49821850	49824329	28651
chr17	45907450	45909549	30408
chr18	46350400	46358499	31719
chr10	95705800	95708279	20233
chr4	148762580	148766199	9939
chr7	29903900	29907499	14606
chr3	69418530	69421449	7557
chr10	129807430	129809479	20777
chr8	23404100	23406149	16256
chr3	124529650	124533399	7943
chr1	100233150	100235199	1852
chr2	238575350	238577749	6321
chr8	128864600	128868229	17149
chr2	70334600	70336699	4749
chr6	121842500	121845729	13612
chr2	44000530	44002779	4389
chr2	161526950	161529279	5534
chr5	39420680	39425729	10543
chr8	121796000	121799829	17034
chr1	53490230	53492249	1289
chr10	91172850	91176549	20158
chr19	22397030	22399079	32772
chr11	121611230	121614349	22618
chr4	88928730	88930749	9520
chr2	88957380	88960479	4938
chr13	43564880	43568299	24943
chr8	126524280	126526879	17133
chr9	72870450	72876579	17844
chr13	24190550	24192599	24673
chr13	49887380	49889449	25056
chr4	166247200	166250149	10074
chr10	50231500	50233899	19620
chr13	21286250	21288399	24630
chr22	45711450	45716699	35820
chr1	8192430	8197049	174
chr12	116756550	116759899	24294
chr1	46267830	46271029	1201
chr11	12217300	12224199	21127
chr3	15350550	15352549	6649
chr1	225950430	225953349	3348
chr19	7404900	7406899	32301
chr3	112885150	112887249	7803
chr9	107668080	107672929	18190
chr4	100123150	100125479	9581
chr1	39668980	39672849	1029
chr20	36886500	36889449	34103
chr1	21475150	21477299	538
chr8	121233050	121236499	17029
chr6	2845930	2848029	12180
chr21	33863550	33866299	34663
chr3	194314150	194316379	8807
chr20	2110350	2115699	33597
chr11	12704280	12707249	21148
chr17	48281500	48284299	30483
chr10	31938150	31940199	19448
chr18	47017100	47019279	31738
chr1	95388530	95396299	1818
chr16	22705100	22707099	28443
chr6	11427280	11431129	12340
chr10	3866600	3873029	19035
chr2	161335100	161337129	5530
chr9	72740400	72742449	17843
chr15	60654580	60656599	27090
chr16	15683850	15685879	28341
chr21	17959050	17961729	34577
chr10	50277830	50280299	19621
chr11	59304080	59306179	21590
chr7	30506700	30521899	14620
chr2	232052480	232057999	6204
chr2	38332550	38335299	4244
chr10	10837450	10842499	19135
chr20	33102250	33105699	33983
chr13	110745630	110750649	25341
chr20	30696380	30699129	33928
chr12	56210030	56213579	23632
chr9	21993950	21996999	17605
chr9	711630	716629	17438
chr7	157144300	157146329	15888
chr20	50176580	50181229	34383
chr15	91099500	91106499	27795
chr20	50141300	50143579	34378
chr4	86579250	86581249	9479
chr22	34207150	34209199	35437
chr1	230343350	230347729	3479
chr7	89873400	89876049	15161
chr15	50010080	50012229	26966
chr6	44016680	44022429	13120
chr5	77835680	77837699	10877
chr8	134510400	134518599	17228
chr3	197146480	197150049	8871
chr4	120546050	120550579	9724
chr7	107639600	107645049	15413
chr19	39934750	39937949	32962
chr12	50055050	50071579	23470
chr17	62316600	62319199	30733
chr9	97562200	97564699	18052
chr16	19126650	19132299	28374
chr10	62331500	62333629	19697
chr12	31810630	31813549	23316
chr15	71059230	71062099	27373
chr2	38318030	38321599	4241
chr14	35449630	35453499	25664
chr11	14562000	14564179	21180
chr1	174767400	174770379	2650
chr2	33516680	33519079	4172
chr1	203348500	203351249	2986
chr10	61652650	61655379	19685
chr3	123974330	123980379	7926
chr5	159590900	159594729	11853
chr8	97802950	97804999	16851
chr1	168577550	168579829	2578
chr15	95835150	95837149	27886
chr11	95960330	95962929	22322
chr12	66580200	66586079	23781
chr6	152011080	152013599	13974
chr13	99621730	99623879	25281
chr3	37069450	37074449	6873
chr14	70091200	70094449	26062
chr20	17875180	17877829	33775
chr14	93191850	93194049	26385
chr13	33630580	33633279	24806
chr8	101505600	101508399	16899
chr18	20838480	20841329	31514
chr1	68212230	68217029	1572
chr2	178215100	178217199	5688
chr5	139559130	139561949	11411
chr9	129889850	129901079	18541
chr8	38756580	38768499	16457
chr5	150529700	150531979	11716
chr2	113383730	113386399	5232
chr3	193719400	193723349	8784
chr6	136259550	136261779	13735
chr17	33568050	33572649	30047
chr3	188814880	188819149	8745
chr2	109236050	109238149	5173
chr12	54068250	54072479	23597
chr5	79499480	79501729	10911
chr12	76421480	76425399	23848
chr14	76288900	76293379	26213
chr8	128746080	128752599	17145
chr5	121647450	121649529	11134
chr1	40096930	40107599	1043
chr11	69865300	69867429	21972
chr11	34336180	34341579	21347
chr4	81104650	81107449	9446
chr1	184119080	184123299	2787
chr18	42260150	42263649	31653
chr2	238068100	238071499	6286
chr1	68581680	68583899	1581
chr1	59570100	59572329	1398
chr4	38663350	38677349	9196
chr15	93615750	93617799	27875
chr11	111597230	111610399	22396
chr10	104531680	104547499	20417
chr5	54886300	54890379	10645
chr20	10583930	10586099	33722
chr15	60682100	60690599	27092
chr17	20931050	20933079	29875
chr4	124425430	124428279	9758
chr2	238594650	238618029	6325
chr9	21095200	21097349	17600
chr8	128938200	128941549	17153
chr12	12030780	12032829	23098
chr3	120156680	120160929	7867
chr19	57682930	57684949	33493
chr19	16934930	16936999	32627
chr8	121820400	121825749	17035
chr17	25783430	25786599	29909
chr2	8631250	8633279	3760
chr3	32617800	32620929	6858
chr1	218547000	218549449	3250
chr1	60154730	60157629	1417
chr10	97067900	97069929	20250
chr10	90145700	90147929	20129
chr4	146798630	146800779	9911
chr2	25077630	25080579	3968
chr10	48571550	48574749	19609
chr1	31536250	31538879	840
chr10	14644500	14648049	19225
chr1	175286380	175288399	2662
chr3	197118750	197123049	8869
chr1	206885630	206891349	3097
chr4	148282630	148284679	9925
chr5	54827750	54832679	10641
chr1	182556350	182559799	2741
chr2	28841880	28868549	4083
chr17	16943400	16952699	29747
chr6	11769750	11771829	12347
chr2	42192000	42196599	4313
chr11	34276900	34280099	21341
chr1	8179950	8182729	173
chr7	93924780	93927599	15201
chr10	120100350	120102399	20614
chr17	57904480	57909599	30646
