Chr	Start	End	Name
chr5	177968600	177976329	12102
chr11	68887680	68892299	21945
chr3	45153450	45156749	7074
chr3	49140100	49143649	7192
chr19	10539800	10545299	32374
chr7	44687380	44696229	14795
chr10	73226980	73229099	19845
chr22	46534100	46536749	35845
chr22	24572450	24574579	35165
chr22	18913050	18922579	35034
chr10	100173400	100176299	20329
chr7	44683550	44686379	14794
chr19	1852750	1859949	32068
chr9	131464700	131469279	18637
chr7	73908350	73910879	15047
chr6	29621000	29627249	12659
chr16	4874130	4876399	28206
chr15	102038000	102042399	28010
chr16	29299600	29304949	28524
chr11	68163530	68169599	21919
chr4	153610100	153614829	9996
chr5	6596800	6600049	10319
chr11	2478500	2486549	20915
chr6	33243600	33248429	12800
chr16	3191730	3196149	28132
chr12	52243200	52247799	23527
chr15	64269780	64281599	27163
chr18	56257650	56264099	31842
chr19	49246330	49251199	33285
chr1	154925950	154931229	2313
chr3	46741050	46744679	7106
chr20	60691250	60697399	34475
chr20	48737000	48739099	34324
chr8	13014400	13018229	16044
chr19	3930650	3932849	32177
chr3	172405850	172407929	8526
chr1	1307630	1312749	27
chr16	9459100	9461899	28234
chr13	59915200	59921379	25129
chr9	116324450	116338849	18343
chr1	110434100	110441749	1931
chr3	16809380	16812549	6703
chr5	671350	674049	10285
chr20	31104800	31107299	33945
chr6	43681350	43687779	13105
chr9	134247500	134249599	18743
chr19	2721400	2725129	32125
chr17	72762230	72766179	30888
chr11	2117200	2120499	20902
chr17	80056450	80060499	31212
chr17	45769930	45775129	30405
chr1	12048000	12053699	330
chr10	134273880	134276999	20808
chr7	73292880	73297099	15017
chr10	725380	727529	18999
chr3	50192430	50211079	7240
chr7	95223880	95231629	15214
chr17	62063150	62068299	30717
chr21	44726400	44729499	34841
chr4	84537650	84543129	9469
chr7	139363500	139369479	15714
chr14	90917300	90922299	26323
chr19	14094700	14101649	32520
chr1	1091200	1094149	15
chr19	49263500	49267299	33288
chr11	74870080	74873249	22097
chr1	12037930	12047429	329
chr12	7105730	7107729	23041
chr11	61315300	61318799	21625
chr11	67156500	67160899	21879
chr1	43670600	43674649	1140
chr17	79385350	79388249	31166
chr1	148927800	148930399	2165
chr11	64070830	64074629	21740
chr13	113611400	113613449	25421
chr8	142103630	142109599	17297
chr3	49201400	49205299	7196
chr19	18399780	18423299	32683
chr17	80185000	80189079	31216
chr5	141203600	141207649	11462
chr3	38620450	38625249	6949
chr5	68512880	68516199	10792
chr6	168443330	168448349	14208
chr20	62463200	62469999	34542
chr14	34596500	34602049	25654
chr9	130538250	130540529	18583
chr14	103586900	103589979	26564
chr8	103118750	103122629	16927
chr19	11246500	11257549	32408
chr17	37819630	37837829	30134
chr6	170447880	170451729	14239
chr16	70713580	70741149	28992
chr17	76122080	76127979	31057
chr19	42923050	42928179	33056
chr2	27577800	27581299	4042
chr5	149054880	149057479	11650
chr9	140281300	140283699	18970
chr11	450730	452949	20839
chr8	145055750	145062349	17373
chr22	18290350	18293579	34994
chr10	18757530	18765449	19285
chr10	105786850	105790749	20465
chr13	51264950	51271229	25090
chr3	49215600	49217599	7198
chr15	64281780	64286349	27164
chr1	176656350	176665149	2666
chr1	42277230	42280499	1107
chr3	122687430	122699229	7892
chr16	27522180	27540829	28488
chr6	140295180	140297829	13813
chr16	25073800	25079679	28474
chr19	15216650	15220329	32553
chr9	124525300	124527329	18442
chr8	28198280	28200299	16325
chr8	146015880	146019829	17405
chr22	46739900	46749349	35855
chr3	142313680	142316179	8242
chr6	43466600	43472079	13093
chr2	220487900	220503449	6115
chr17	79881300	79885699	31199
chr13	111157000	111163849	25370
chr4	2787230	2795149	8942
chr5	192450	196749	10278
chr19	39132800	39136779	32933
chr7	854830	858799	14285
chr2	208361650	208371329	5944
chr3	46901750	46917629	7109
chr8	142399980	142413679	17317
chr2	220081700	220083849	6084
chr20	60946280	60949379	34489
chr12	123559250	123575149	24461
chr3	42554300	42558979	7005
chr7	151155400	151159279	15840
chr9	132163150	132169049	18674
chr4	152719080	152723149	9981
chr9	139883230	139889449	18945
chr10	121158300	121160779	20650
chr11	46337730	46340829	21475
chr22	41797550	41801179	35699
chr5	154571280	154575849	11779
chr21	39014950	39018949	34756
chr7	95235600	95240379	15215
chr17	76249100	76251199	31063
chr22	19867400	19869449	35059
chr16	30381630	30385179	28548
chr4	152606330	152615049	9977
chr11	67181830	67188699	21882
chr1	230023300	230025349	3466
chr11	68669900	68673799	21935
chr3	48538100	48542099	7161
chr9	136012880	136019049	18798
chr6	36928000	36930529	12948
chr19	788400	790899	32015
chr17	976050	980499	29382
chr9	33400630	33403099	17651
chr19	37824430	37826979	32907
chr9	35810700	35815449	17720
chr19	36589750	36593029	32877
chr12	696050	702949	22812
chr2	238393950	238399729	6307
chr3	194587150	194594479	8818
chr9	139832150	139847999	18941
chr22	20019100	20021679	35073
chr2	220279700	220288849	6096
chr22	19977930	19980799	35066
chr17	2238380	2242929	29460
chr10	72081250	72083479	19808
chr1	1361650	1363849	30
chr9	134153400	134155549	18736
chr2	96762500	96772099	4957
chr16	30536350	30540449	28558
chr2	232543050	232551049	6222
chr14	105936030	105952849	26675
chr2	32147700	32149879	4140
chr19	2013430	2017449	32077
chr10	75624330	75629379	19938
chr9	137312300	137315449	18852
chr16	84112530	84116099	29149
chr12	56536200	56538479	23648
chr10	121104150	121106299	20641
chr18	59418880	59420879	31881
chr22	29700700	29709399	35308
chr12	123575300	123606029	24462
chr4	146073330	146075849	9901
chr9	139401150	139403299	18898
chr12	123426850	123432849	24452
chr16	574980	577699	28038
chr17	27945730	27951749	29968
chr16	19718450	19722599	28387
chr19	18566550	18574029	32697
chr2	71693380	71698379	4772
chr17	1902600	1904829	29441
chr16	3135030	3138249	28126
chr11	130740680	130743829	22778
chr15	68988800	68995349	27335
chr11	1940500	1949349	20891
chr17	43362500	43372799	30362
chr22	20191650	20194949	35080
chr6	12961600	12965579	12357
chr2	26463700	26470749	4011
chr6	53542200	53545699	13226
chr1	16061050	16063329	400
chr19	6234900	6236929	32272
chr7	73692930	73696049	15034
chr22	25759850	25762399	35212
chr2	237639150	237642729	6277
chr1	205479000	205486399	3054
chr1	90079300	90083349	1710
chr16	2299730	2303279	28101
chr9	137226000	137229749	18837
chr6	42987230	42990699	13071
chr3	52525050	52530899	7323
chr9	139578950	139581679	18921
chr1	226492350	226498679	3366
chr9	137253530	137259649	18844
chr14	100001550	100012299	26470
chr17	1384900	1400779	29409
chr7	44176550	44180699	14764
chr17	41934150	41940799	30291
chr6	136433930	136441329	13745
chr10	73504780	73511799	19863
chr2	241836580	241839499	6398
chr1	204010500	204015049	3011
chr1	937850	941599	11
chr11	64613800	64635029	21755
chr2	10166800	10173499	3819
chr1	9647400	9657229	244
chr20	62331800	62334899	34536
chr10	103204750	103206999	20365
chr4	186699930	186709749	10244
chr20	30597300	30599829	33927
chr22	23618250	23623849	35129
chr12	52287750	52291899	23530
chr20	48404800	48408749	34301
chr10	698880	702479	18997
chr9	2139330	2142299	17447
chr11	6517630	6520149	20982
chr14	105192780	105194929	26627
chr5	56501430	56506299	10667
chr14	102246000	102251429	26519
chr16	84536800	84540049	29158
chr19	3027000	3031149	32138
chr16	85186100	85188249	29190
chr1	7423230	7425549	150
chr3	123410600	123414179	7913
chr1	27122950	27129149	728
chr17	48449130	48451499	30490
chr19	8405250	8409529	32328
chr22	20230000	20233279	35082
chr20	25196680	25215129	33879
chr4	186781430	186791099	10256
chr11	72335630	72347899	22003
chr9	139549230	139560549	18918
chr3	125708580	125710599	7971
chr12	117438580	117440779	24311
chr6	43967850	43979399	13119
chr1	2242330	2249699	67
chr2	54626950	54628999	4533
chr8	144640180	144642199	17352
chr1	10791850	10799179	287
chr20	62598150	62605699	34555
chr17	76917250	76924629	31102
chr3	58221830	58225429	7409
chr9	140081500	140084979	18952
chr16	2020650	2023879	28086
chr19	3357000	3359979	32151
chr11	65403430	65410199	21813
chr1	153736100	153738499	2265
chr22	50346600	50353799	35897
chr2	25532550	25539999	3996
chr2	97453450	97455679	4978
chr7	73683280	73689999	15033
chr11	61641550	61644149	21651
chr17	37884730	37887429	30141
chr20	48745800	48752349	34325
chr5	172691050	172698049	12006
chr12	57604630	57608729	23687
chr11	68121430	68123549	21916
chr19	56027750	56030129	33457
chr9	139420150	139424229	18900
chr16	30795330	30800349	28577
chr20	568850	571899	33563
chr9	140299050	140303099	18971
chr11	76345980	76349379	22139
chr18	7232780	7235749	31320
chr6	14872400	14875999	12413
chr11	4663080	4669349	20968
chr9	71143650	71147599	17799
chr22	47067030	47074249	35872
chr6	43950230	43966449	13118
chr6	36964180	36968029	12953
chr9	140167930	140173429	18963
chr12	122487500	122491779	24424
chr12	52583730	52590249	23552
chr16	66965730	66971329	28864
chr17	79012250	79014249	31148
chr1	2123680	2131879	54
chr11	72926850	72931279	22040
chr3	38573580	38588729	6945
chr17	75774650	75776729	31037
chr15	40657600	40660899	26824
chr19	1839550	1841599	32066
chr9	137275280	137278299	18847
chr1	29448600	29453049	816
chr12	27931400	27934829	23279
chr9	139217600	139224349	18886
chr18	19841450	19861149	31486
chr9	116244630	116252429	18335
chr1	1837630	1841149	49
chr20	3717880	3722829	33628
chr7	2427700	2429879	14336
chr7	76020330	76025699	15095
chr17	79978800	79981299	31206
chr19	17666050	17668899	32661
chr9	34361980	34364379	17670
chr2	242798300	242803129	6421
chr12	3196600	3198599	22936
chr11	75894600	75898249	22125
chr8	144606900	144614079	17346
chr11	61362250	61366499	21632
chr21	45342180	45350899	34879
chr19	18534130	18540199	32692
chr20	48039780	48045029	34285
chr17	40705030	40708349	30230
chr17	79390750	79394929	31168
chr14	105530000	105532449	26643
chr22	34631130	34633149	35455
chr14	64660730	64669299	25925
chr20	62487700	62491949	34548
chr19	47358650	47361229	33199
chr17	12633100	12641899	29684
chr8	102086650	102088779	16910
chr17	43500750	43505049	30371
chr10	73451050	73453779	19855
chr17	79676980	79679049	31189
chr8	37645300	37647499	16414
chr1	151339980	151346099	2230
chr1	8012900	8015849	162
chr2	219441100	219444249	6067
chr22	17649150	17654949	34976
chr12	6718400	6725249	23013
chr17	3879480	3882279	29499
chr3	49207300	49215029	7197
chr1	16453500	16456829	421
chr9	139501630	139504199	18909
chr3	49156450	49159799	7193
chr22	18388800	18409149	35008
chr7	140334550	140344199	15739
chr15	41196280	41204779	26840
chr3	57933300	57935849	7390
chr12	2537700	2543999	22910
chr10	121118650	121124479	20645
chr20	60928080	60945749	34488
chr17	17437830	17442129	29777
chr17	41898530	41907179	30287
chr6	31742700	31745649	12741
chr9	139609530	139615599	18924
chr1	10854430	10856949	299
chr16	58066350	58070349	28801
chr17	48176600	48181949	30471
chr20	31062980	31066349	33943
chr19	14141200	14144229	32523
chr7	151381280	151391579	15854
chr9	38648150	38651479	17776
chr9	130563450	130566979	18587
chr11	57001650	57003999	21549
chr7	150884380	150886499	15834
chr7	100047250	100049499	15273
chr1	35299280	35314379	941
chr22	38813930	38816179	35590
chr16	4439030	4441049	28181
chr22	31513550	31520899	35364
chr22	38844330	38850849	35594
chr8	145924350	145926999	17400
chr1	100713980	100716899	1860
chr16	83945450	83948099	29143
chr19	49312350	49317799	33292
chr11	1965980	1972229	20894
chr4	89217900	89220199	9527
chr17	2609200	2611349	29470
chr19	45310400	45315649	33106
chr7	151333730	151336349	15848
chr9	135987050	135999829	18796
chr7	90238700	90240829	15165
chr1	9940880	9952149	251
chr12	3309400	3317799	22948
chr17	76898000	76900049	31098
chr8	19915330	19922099	16156
chr22	46498450	46500499	35839
chr16	2262050	2266549	28099
chr1	205486480	205490299	3055
chr17	79026450	79029499	31151
chr8	61965350	61967899	16636
chr12	123325100	123328999	24443
chr9	136112330	136116149	18803
chr17	49019700	49030699	30522
chr5	167421200	167429229	11874
chr11	72896230	72900149	22037
chr5	138706750	138710079	11372
chr17	43447630	43452549	30368
chr17	76873480	76883249	31095
chr12	1909200	1911229	22844
chr8	135732050	135734279	17248
chr6	42050000	42058699	13043
chr2	20723200	20725249	3925
chr19	2131180	2133899	32087
chr9	139511680	139514649	18911
chr14	24745580	24747579	25567
chr17	921580	927029	29376
chr2	47255550	47264879	4486
chr9	137158080	137160649	18832
chr16	46762780	46766279	28617
chr15	41247600	41251249	26844
chr18	33273880	33276899	31614
chr12	51145030	51147279	23510
chr19	12604580	12607779	32463
chr9	131126030	131129199	18624
chr8	145041550	145051029	17372
chr16	46776200	46786679	28619
chr14	100056250	100060329	26476
chr8	142414250	142435449	17318
chr19	2718250	2720349	32124
chr17	48171180	48176399	30470
chr1	9960150	9973749	253
chr17	74272500	74275549	30969
chr8	39846700	39851729	16469
chr9	134161100	134177199	18738
chr9	124527350	124531879	18443
chr14	105153800	105158049	26622
chr19	726380	728499	32014
chr19	50311200	50314199	33343
chr9	124893500	124895549	18455
chr16	118550	130449	28017
chr6	36833600	36839979	12941
chr11	72428900	72435899	22008
chr22	28062500	28071779	35257
chr6	33552330	33560199	12814
chr11	803650	807549	20855
chr19	45925350	45928979	33133
chr6	33712580	33716449	12832
chr8	11444100	11447879	16011
chr1	44410650	44415499	1160
chr2	238380450	238385449	6305
chr16	67557730	67568399	28894
chr19	17412600	17418449	32646
chr13	113630930	113640249	25425
chr16	70709880	70711899	28991
chr22	46420780	46427699	35834
chr1	57011350	57017429	1363
chr1	205471350	205477149	3053
chr16	31152330	31155749	28600
chr7	30944450	30966699	14639
chr17	43203380	43211299	30347
chr3	192369880	192376149	8764
chr17	75345550	75348499	31014
chr3	183732100	183737229	8603
chr14	55581250	55593729	25821
chr13	33577350	33579799	24803
chr11	44036680	44040749	21397
chr17	41907450	41912249	30288
chr9	139685050	139687199	18930
chr10	18599300	18603599	19272
chr15	77795950	77807749	27553
chr1	201276700	201279129	2881
chr5	133844100	133848449	11268
chr16	70510500	70514899	28986
chr14	103992800	103997049	26580
chr9	129087400	129091479	18510
chr8	145542450	145545779	17386
chr5	133882480	133892179	11272
chr3	9884280	9887099	6493
chr18	56428500	56432099	31849
chr14	90999480	91003399	26327
chr19	50091980	50096699	33332
chr17	49208700	49211979	30527
chr3	127871100	127876849	8028
chr22	35705830	35713699	35458
chr22	46969980	46989329	35863
chr17	73476100	73478279	30923
chr5	175000300	175002449	12039
chr15	30160380	30165349	26714
chr19	34309400	34311579	32820
chr7	28141180	28149149	14584
chr4	1242630	1244849	8903
chr22	47006430	47009979	35866
chr17	17653730	17659899	29795
chr14	91039400	91042449	26330
chr10	73230130	73237199	19846
chr12	90103100	90105279	23886
chr20	20064100	20071899	33822
chr2	219268450	219272979	6064
chr17	21145900	21147949	29885
chr14	25434330	25437249	25589
chr17	73503400	73511679	30927
chr8	145725930	145730229	17396
chr3	50323480	50326949	7248
chr12	117513980	117516099	24315
chr7	116588580	116591829	15475
chr5	149198800	149208899	11664
chr1	10801680	10807529	289
chr1	12031700	12033899	328
chr1	16337830	16349649	413
chr16	67700130	67702549	28902
chr21	33734230	33737679	34655
chr1	27699250	27701399	761
chr3	48645280	48647579	7168
chr12	7065200	7074549	23038
chr22	47022480	47025799	35868
chr20	48753650	48757629	34326
chr8	145652030	145657279	17391
chr16	4261180	4272799	28167
chr22	43090250	43101679	35752
chr1	10812480	10817979	290
chr9	14011600	14016399	17535
chr7	56043650	56046849	14937
chr17	41923180	41927749	30290
chr17	74399230	74406899	30973
chr16	81475680	81482179	29111
chr14	76775850	76778899	26223
chr16	427600	430899	28031
chr7	45195050	45197099	14811
chr3	196667800	196671699	8862
chr16	75138800	75148199	29064
chr20	48779330	48786199	34329
chr2	159968980	159974199	5484
chr11	124765550	124772199	22658
chr10	121116300	121118629	20644
chr20	43241480	43246199	34180
chr4	14842450	14844479	9080
chr15	40613850	40616049	26822
chr11	2910230	2912229	20929
chr16	58512780	58514799	28822
chr21	46398750	46402249	34912
chr19	45212650	45214649	33101
chr16	58504600	58510079	28821
chr22	36005130	36020099	35477
chr11	67270450	67277679	21890
chr16	30786500	30790829	28576
chr17	76870650	76873329	31094
chr2	232525300	232540979	6221
chr7	2154080	2157499	14325
chr3	49839150	49847149	7230
chr19	47548900	47552299	33214
chr20	25000950	25007379	33873
chr3	37055800	37061629	6872
chr7	36074400	36078799	14693
chr10	23689430	23696499	19330
chr9	33389350	33394899	17650
chr22	47077450	47086599	35874
chr2	128400730	128402849	5329
chr4	186756200	186765249	10254
chr7	44101430	44106729	14755
chr11	130760230	130769079	22779
chr21	44894180	44902029	34856
chr7	44170600	44172749	14762
chr12	123537850	123559199	24460
chr3	46712550	46714549	7102
chr21	44594900	44599899	34836
chr17	56010200	56020199	30604
chr8	11799380	11801449	16030
chr20	22743080	22745129	33836
chr11	82756950	82759399	22198
chr14	100198700	100206749	26483
chr22	20103200	20105499	35075
chr3	183902130	183905599	8607
chr17	48619730	48621949	30499
chr14	23902280	23915729	25544
chr17	37813600	37819229	30133
chr6	163752550	163762479	14134
chr4	106628350	106631429	9619
chr11	63684250	63691129	21719
chr11	72938550	72941449	22043
chr20	31057850	31062629	33942
chr2	85474730	85479199	4861
chr1	16465230	16485579	422
chr22	34174980	34180079	35435
chr11	63705000	63708099	21720
chr8	19533450	19536879	16142
chr10	134210300	134215799	20804
chr6	132127250	132129929	13697
chr14	105142300	105150199	26621
chr19	11544680	11547879	32432
chr4	152957080	152963349	9986
chr1	10831180	10833449	294
chr17	76251780	76254979	31064
chr4	698200	702999	8890
chr14	24613880	24617999	25557
chr19	58788250	58791979	33531
chr4	17512050	17515299	9112
chr17	4888830	4894049	29554
chr6	33544230	33549349	12813
chr12	121972950	121977499	24398
chr22	41863350	41867199	35703
chr17	79933380	79936049	31202
chr3	43402550	43410399	7039
chr4	679900	684749	8889
chr9	139641350	139644029	18928
chr20	62683150	62687899	34559
chr9	139540950	139543999	18915
chr20	61422600	61429579	34511
chr9	139237080	139243849	18888
chr7	1067400	1071599	14296
chr6	14117500	14120079	12396
chr17	75415350	75437929	31021
